document_no,counterparty,party_code,due_date,days_overdue,bucket,outstanding_inr,expected_in_window_inr,status
INV-2026-000459,Orbitex Packaging Private Limited,,2026-05-30,98,91-180,2045471.0,0.0,overdue
INV-2026-000480,Orbitex Packaging Private Limited,,2026-06-01,96,91-180,2016452.0,0.0,overdue
INV-2026-000658,Suryavansh Petro Chemicals & Co,,2026-06-01,96,91-180,1985013.0,0.0,overdue
INV-2026-000073,Anant Infra Staffing Private Limited,,2026-04-28,130,91-180,1884284.0,0.0,overdue
INV-2026-000104,Goldcrest Security Systems & Co,,2026-05-16,112,91-180,1874315.0,0.0,overdue
INV-2026-001803,Goldcrest Steel Traders Company,,2026-09-03,2,1-30,1874030.0,1693422.56,overdue
INV-2026-001382,Trividata Roofing Products PVT LTD,,2026-08-10,26,1-30,1858703.0,0.0,overdue
INV-2026-001051,Nalanda Recyclers LLP,,2026-06-25,72,61-90,1829682.0,0.0,overdue
INV-2026-000460,Suryavansh Petro Chemicals & Co,,2026-05-15,113,91-180,1775312.0,0.0,overdue
INV-2026-000643,Anant Infra Staffing Private Limited,,2026-06-15,82,61-90,1749554.0,0.0,overdue
INV-2026-000463,Anant Infra Staffing Private Limited,,2026-05-30,98,91-180,1744766.0,0.0,overdue
INV-2026-000579,Goldcrest Steel Traders Company,,2026-05-12,116,91-180,1722778.0,0.0,overdue
INV-2026-000165,Shree Balaji Hardware Private Limited,,2026-05-05,123,91-180,1708406.0,0.0,overdue
INV-2026-000175,Copperleaf Electricals PVT LTD,,2026-05-07,121,91-180,1685544.0,0.0,overdue
INV-2026-001053,Suryavansh Catering Services Company,,2026-07-10,57,31-60,1666570.0,0.0,open
INV-2026-000774,Orbitex Packaging Private Limited,,2026-06-29,68,61-90,1641575.0,0.0,overdue
INV-2026-000856,Shree Balaji Hardware Private Limited,,2026-07-07,60,31-60,1633019.0,0.0,overdue
INV-2026-000988,Orbitex Packaging Private Limited,,2026-07-20,47,31-60,1608416.0,0.0,overdue
INV-2026-000577,Ashwini Cold Chain Ltd,,2026-05-27,101,91-180,1593419.0,0.0,overdue
INV-2026-000409,Ashwini Solar EPC PVT LTD,,2026-05-25,103,91-180,1584672.0,0.0,overdue
INV-2026-001021,Goldcrest Steel Traders Company,,2026-06-23,74,61-90,1574420.0,6352.71,overdue
INV-2026-000835,Suryavansh Petro Chemicals & Co,,2026-06-20,77,61-90,1571754.0,0.0,overdue
INV-2026-000674,Trividata Roofing Products PVT LTD,,2026-06-04,93,91-180,1564180.0,0.0,overdue
INV-2026-000126,Orbitex Paper Mills PVT LTD,,2026-03-25,164,91-180,1549325.0,0.0,overdue
INV-2026-000672,Orbitex Dairy Foods PVT LTD,,2026-05-12,116,91-180,1548669.0,335.14,overdue
INV-2026-000804,Suryavansh Petro Chemicals & Co,,2026-06-17,80,61-90,1547955.0,0.0,overdue
INV-2026-000691,Meridian Lab Supplies LLP,,2026-05-13,115,91-180,1547506.0,0.0,overdue
INV-2026-001179,Trividata Roofing Products PVT LTD,,2026-07-23,44,31-60,1530257.0,0.0,overdue
INV-2026-001148,Suryavansh Petro Chemicals & Co,,2026-07-20,47,31-60,1525035.0,0.0,overdue
INV-2026-000883,Sahyadri Polymers PVT LTD,,2026-07-10,57,31-60,1518679.0,0.0,overdue
INV-2026-001345,Zenith One Logistics & Co,,2026-08-06,30,1-30,1504320.0,0.0,overdue
INV-2026-000060,Zenith One Logistics & Co,,2026-04-13,145,91-180,1498295.0,0.0,overdue
INV-2026-000754,Goldcrest Security Systems & Co,,2026-07-11,56,31-60,1492157.0,0.0,overdue
INV-2026-000528,Nalanda Recyclers LLP,,2026-05-06,122,91-180,1485329.0,0.0,overdue
INV-2026-001245,Meridian Lab Supplies LLP,,2026-07-06,61,61-90,1484634.0,6178.34,overdue
INV-2026-000338,Ashwini Interiors & Co,,2026-05-02,126,91-180,1484464.0,0.0,overdue
INV-2026-000688,Sahyadri Polymers PVT LTD,,2026-06-20,77,61-90,1481801.0,0.0,overdue
INV-2026-000292,Orbitex Packaging Private Limited,,2026-05-14,114,91-180,1463037.0,0.0,overdue
INV-2026-001646,Meridian Lab Supplies LLP,,2026-08-12,24,1-30,1454278.0,0.0,overdue
INV-2026-001184,Sahyadri Polymers PVT LTD,,2026-08-07,29,1-30,1452061.0,0.0,overdue
INV-2026-000936,Ashwini Cold Chain Ltd,,2026-06-29,68,61-90,1444547.0,0.0,overdue
INV-2026-000303,Nalanda Recyclers LLP,,2026-04-15,143,91-180,1441705.0,0.0,open
INV-2026-001189,Meridian Lab Supplies LLP,,2026-07-01,66,61-90,1437962.0,0.0,overdue
INV-2026-001468,Ashwini Solar EPC PVT LTD,,2026-09-01,4,1-30,1432891.0,1194982.46,overdue
INV-2026-000625,Ashwini Cold Chain Ltd,,2026-05-30,98,91-180,1430162.0,1631.02,overdue
INV-2026-001205,Suryavansh Petro Chemicals & Co,,2026-07-25,42,31-60,1418172.0,0.0,overdue
INV-2026-000919,Vedika Facility Management & Co,,2026-07-13,54,31-60,1405609.0,0.0,overdue
INV-2026-000925,Trividata Roofing Products PVT LTD,,2026-06-29,68,61-90,1404378.0,0.0,overdue
INV-2026-001013,Vedika Facility Management & Co,,2026-07-21,46,31-60,1395689.0,0.0,overdue
INV-2026-001145,Goldcrest Security Systems & Co,,2026-08-18,18,1-30,1388104.0,0.0,overdue
INV-2026-000184,Copperleaf Electricals PVT LTD,,2026-05-07,121,91-180,1384328.0,0.0,overdue
INV-2026-000378,Nalanda Recyclers LLP,,2026-04-22,136,91-180,1379087.0,0.0,open
INV-2026-000982,Orbitex Dairy Foods PVT LTD,,2026-06-11,86,61-90,1358463.0,0.0,open
INV-2026-001141,Goldcrest Steel Traders Company,,2026-07-04,63,61-90,1352077.0,0.0,overdue
INV-2026-000896,Goldcrest Security Systems & Co,,2026-07-27,40,31-60,1330355.0,0.0,overdue
INV-2026-000380,Suryavansh Petro Chemicals & Co,,2026-05-07,121,91-180,1321291.0,0.0,overdue
INV-2026-000879,Ashwini Cold Chain Ltd,,2026-06-25,72,61-90,1318459.0,0.0,overdue
INV-2026-000228,Nalanda Fab Services Private Limited,,2026-05-25,103,91-180,1308051.0,0.0,overdue
INV-2026-001207,Ashwini Cold Chain Ltd,,2026-07-25,42,31-60,1304751.0,0.0,overdue
INV-2026-001457,Goldcrest Steel Traders Company,,2026-08-01,35,31-60,1302689.0,0.0,overdue
INV-2026-000989,Shree Balaji Hardware Private Limited,,2026-07-20,47,31-60,1290022.0,0.0,overdue
INV-2026-001048,Orbitex Packaging Private Limited,,2026-07-25,42,31-60,1289831.0,0.0,overdue
INV-2026-000005,Goldcrest Security Systems & Co,,2026-05-08,120,91-180,1288560.0,0.0,overdue
INV-2026-001125,Ashwini Interiors & Co,,2026-07-18,49,31-60,1287280.0,0.0,overdue
INV-2026-001256,Everstone Water Treatment Company,,2026-08-29,7,1-30,1283718.0,0.0,overdue
INV-2026-000785,Pushpa Metals Agri Inputs PVT LTD,,2026-05-22,106,91-180,1278621.0,0.0,overdue
INV-2026-001178,Ashwini Interiors & Co,,2026-07-23,44,31-60,1270894.0,0.0,overdue
INV-2026-001318,Shree Balaji Hardware Private Limited,,2026-08-17,19,1-30,1263197.0,0.0,overdue
INV-2026-001427,Trividata Roofing Products PVT LTD,,2026-08-14,22,1-30,1249899.0,0.0,overdue
INV-2026-000450,Vedika Facility Management & Co,,2026-05-29,99,91-180,1244536.0,0.0,overdue
INV-2026-001492,Vedika Facility Management & Co,,2026-09-04,1,1-30,1244312.0,0.0,overdue
INV-2026-000735,Ashwini Cold Chain Ltd,,2026-06-08,89,61-90,1242496.0,0.0,overdue
INV-2026-000466,Suryavansh Petro Chemicals & Co,,2026-05-15,113,91-180,1234957.0,0.0,overdue
INV-2026-000816,Ashwini Cold Chain Ltd,,2026-06-18,79,61-90,1219996.0,0.0,overdue
INV-2026-000174,Orbitex Paper Mills PVT LTD,,2026-03-30,159,91-180,1218737.0,0.0,overdue
INV-2026-000311,Nalanda Recyclers LLP,,2026-04-15,143,91-180,1198403.0,29800.66,overdue
INV-2026-001255,Nalanda Recyclers LLP,,2026-07-15,52,31-60,1170483.0,0.0,overdue
INV-2026-000287,Saptagiri Analytics Ltd,,2026-04-06,152,91-180,1168944.0,0.0,overdue
INV-2026-001677,Nalanda Recyclers LLP,,2026-08-22,14,1-30,1167942.0,0.0,overdue
INV-2026-001509,Orbitex Packaging Private Limited,,2026-09-05,0,1-30,1161269.0,1085777.48,open
INV-2026-001167,Trividata Roofing Products PVT LTD,,2026-07-22,45,31-60,1160737.0,3851.7,overdue
INV-2026-000309,Vedika Facility Management & Co,,2026-05-15,113,91-180,1146371.0,0.0,overdue
INV-2026-000182,Sahyadri Polymers PVT LTD,,2026-05-07,121,91-180,1145592.0,0.0,overdue
INV-2026-000597,Shree Balaji Hardware Private Limited,,2026-06-12,85,61-90,1145131.0,0.0,overdue
INV-2026-000648,Vedika Facility Management & Co,,2026-06-15,82,61-90,1129321.0,0.0,overdue
INV-2026-000793,Ashwini Interiors & Co,,2026-06-15,82,61-90,1129197.0,0.0,overdue
INV-2026-000836,Ashwini Interiors & Co,,2026-06-20,77,61-90,1125491.0,1672.37,overdue
INV-2026-001219,Ashwini Solar EPC PVT LTD,,2026-08-10,26,1-30,1124433.0,0.0,open
INV-2026-001217,Nalanda Recyclers LLP,,2026-07-11,56,31-60,1121502.0,0.0,overdue
INV-2026-001542,Orbitex Paper Mills PVT LTD,,2026-07-31,36,31-60,1120334.0,0.0,open
INV-2026-000329,Trividata Roofing Products PVT LTD,,2026-05-01,127,91-180,1119076.0,0.0,overdue
INV-2026-000850,Nalanda Fab Services Private Limited,,2026-07-21,46,31-60,1118244.0,0.0,overdue
INV-2026-001403,Saptagiri Analytics Ltd,,2026-07-20,47,31-60,1114756.0,0.0,overdue
INV-2026-001347,Ashwini Interiors & Co,,2026-08-06,30,1-30,1110927.0,0.0,overdue
INV-2026-000217,Orbitex Packaging Private Limited,,2026-05-09,119,91-180,1091304.0,0.0,overdue
INV-2026-000869,Orbitex Packaging Private Limited,,2026-07-09,58,31-60,1085341.0,0.0,overdue
INV-2026-001805,Pushpa Metals Agri Inputs PVT LTD,,2026-08-26,10,1-30,1080271.0,0.0,overdue
INV-2026-001536,Meridian Lab Supplies LLP,,2026-07-31,36,31-60,1074512.0,0.0,overdue
INV-2026-000815,Vedika Facility Management & Co,,2026-07-03,64,61-90,1064676.0,0.0,overdue
INV-2026-000881,Ashwini Solar EPC PVT LTD,,2026-07-10,57,31-60,1063405.0,0.0,overdue
INV-2026-001377,Saptagiri Analytics Ltd,,2026-07-17,50,31-60,1058022.0,0.0,overdue
INV-2026-001767,Orbitex Dairy Foods PVT LTD,,2026-08-22,14,1-30,1054876.0,0.0,overdue
INV-2026-001180,Nalanda Recyclers LLP,,2026-07-08,59,31-60,1047754.0,0.0,overdue
INV-2026-001526,Orbitex Paper Mills PVT LTD,,2026-07-30,37,31-60,1046804.0,0.0,open
INV-2026-001258,Orbitex Packaging Private Limited,,2026-08-14,22,1-30,1039355.0,0.0,open
INV-2026-000377,Goldcrest Security Systems & Co,,2026-06-06,91,91-180,1035455.0,0.0,overdue
INV-2026-000291,Orbitex Paper Mills PVT LTD,,2026-04-06,152,91-180,1034426.0,23232.91,overdue
INV-2026-000226,Sahyadri Polymers PVT LTD,,2026-05-11,117,91-180,1034038.0,0.0,overdue
INV-2026-000556,Shree Balaji Hardware Private Limited,,2026-06-08,89,61-90,1029228.0,0.0,overdue
INV-2026-000094,Trividata Roofing Products PVT LTD,,2026-04-15,143,91-180,1025564.0,24714.46,overdue
INV-2026-000496,Meridian Lab Supplies LLP,,2026-04-24,134,91-180,1021608.0,0.0,overdue
INV-2026-000102,Pushpa Metals Agri Inputs PVT LTD,,2026-03-24,165,91-180,1018707.0,0.0,overdue
INV-2026-001661,Suryavansh Catering Services Company,,2026-09-05,0,1-30,1014640.0,0.0,open
INV-2026-001275,Trividata Roofing Products PVT LTD,,2026-07-31,36,31-60,1010084.0,3982.64,overdue
INV-2026-001539,Ashwini Interiors & Co,,2026-08-24,12,1-30,1008580.0,0.0,overdue
INV-2026-001274,Orbitex Dairy Foods PVT LTD,,2026-07-08,59,31-60,1003890.0,0.0,overdue
INV-2026-000166,Meridian Lab Supplies LLP,,2026-03-28,161,91-180,1002598.0,0.0,overdue
INV-2026-001220,Nalanda Recyclers LLP,,2026-07-11,56,31-60,1001151.0,0.0,overdue
INV-2026-001004,Nalanda Fab Services Private Limited,,2026-08-04,32,31-60,999576.0,0.0,overdue
INV-2026-000690,Goldcrest Security Systems & Co,,2026-07-06,61,61-90,992374.0,0.0,overdue
INV-2026-000540,Ashwini Cold Chain Ltd,,2026-05-22,106,91-180,991909.0,0.0,overdue
INV-2026-001456,Anant Infra Staffing Private Limited,,2026-08-31,5,1-30,991187.0,654917.97,overdue
INV-2026-000201,Sahyadri Polymers PVT LTD,,2026-05-08,120,91-180,983633.0,0.0,overdue
INV-2026-001497,Meridian Lab Supplies LLP,,2026-07-28,39,31-60,969809.0,0.0,overdue
INV-2026-000148,Sahyadri Polymers PVT LTD,,2026-05-04,124,91-180,966332.0,0.0,overdue
INV-2026-000185,Goldcrest Warehousing Private Limited,,2026-03-30,159,91-180,961448.0,21253.19,overdue
INV-2026-000451,Suryavansh Print Solutions & Co,,2026-05-14,114,91-180,954762.0,464.94,overdue
INV-2026-001395,Meridian Lab Supplies LLP,,2026-07-20,47,31-60,954485.0,0.0,overdue
INV-2026-001475,Goldcrest Steel Traders Company,,2026-08-04,32,31-60,952720.0,0.0,overdue
INV-2026-000504,Orbitex Paper Mills PVT LTD,,2026-04-25,133,91-180,951674.0,0.0,overdue
INV-2026-001326,Nalanda Recyclers LLP,,2026-07-20,47,31-60,950120.0,0.0,overdue
INV-2026-001699,Saptagiri Analytics Ltd,,2026-08-17,19,1-30,949901.0,0.0,overdue
INV-2026-001350,Suryavansh Petro Chemicals & Co,,2026-08-06,30,1-30,947888.0,0.0,overdue
INV-2026-000322,Saptagiri Analytics Ltd,,2026-04-08,150,91-180,946607.0,22274.11,overdue
INV-2026-001637,Suryavansh Catering Services Company,,2026-09-03,2,1-30,943114.0,722927.94,overdue
INV-2026-001585,Nalanda Recyclers LLP,,2026-08-13,23,1-30,941946.0,0.0,overdue
INV-2026-000928,Ashwini Cold Chain Ltd,,2026-06-29,68,61-90,941344.0,0.0,overdue
INV-2026-001081,Copperleaf Electricals PVT LTD,,2026-07-27,40,31-60,940043.0,0.0,overdue
INV-2026-000921,Ashwini Solar EPC PVT LTD,,2026-07-13,54,31-60,936156.0,0.0,overdue
INV-2026-000369,Copperleaf Electricals PVT LTD,,2026-05-21,107,91-180,934624.0,0.0,overdue
INV-2026-000288,Nalanda Recyclers LLP,,2026-04-14,144,91-180,932058.0,0.0,open
INV-2026-001521,Saptagiri Analytics Ltd,,2026-07-30,37,31-60,929035.0,0.0,overdue
INV-2026-001455,Orbitex Packaging Private Limited,,2026-08-31,5,1-30,923888.0,0.0,overdue
INV-2026-000718,Orbitex Packaging Private Limited,,2026-06-22,75,61-90,923504.0,0.0,overdue
INV-2026-001489,Shree Balaji Hardware Private Limited,,2026-09-04,1,1-30,918576.0,690375.11,overdue
INV-2026-000911,Trividata Roofing Products PVT LTD,,2026-06-27,70,61-90,914727.0,0.0,overdue
INV-2026-000984,Ashwini Solar EPC PVT LTD,,2026-07-20,47,31-60,908708.0,0.0,overdue
INV-2026-000539,Ashwini Cold Chain Ltd,,2026-05-22,106,91-180,908320.0,0.0,overdue
INV-2026-000611,Meridian Lab Supplies LLP,,2026-05-06,122,91-180,907734.0,0.0,overdue
INV-2026-001116,Trividata Roofing Products PVT LTD,,2026-07-17,50,31-60,907554.0,0.0,overdue
INV-2026-001648,Pushpa Metals Agri Inputs PVT LTD,,2026-08-12,24,1-30,904149.0,0.0,overdue
INV-2026-001001,Anant Infra Staffing Private Limited,,2026-07-20,47,31-60,903173.0,0.0,overdue
INV-2026-000310,Goldcrest Steel Traders Company,,2026-04-15,143,91-180,900789.0,0.0,overdue
INV-2026-000072,Vedika Facility Management & Co,,2026-04-28,130,91-180,897718.0,0.0,overdue
INV-2026-000608,Meridian Lab Supplies LLP,,2026-05-06,122,91-180,892943.0,0.0,overdue
INV-2026-000908,Suryavansh Petro Chemicals & Co,,2026-06-27,70,61-90,892424.0,0.0,overdue
INV-2026-001479,Ashwini Cold Chain Ltd,,2026-08-19,17,1-30,890659.0,0.0,overdue
INV-2026-000580,Trividata Roofing Products PVT LTD,,2026-05-27,101,91-180,885368.0,0.0,overdue
INV-2026-000312,Goldcrest Security Systems & Co,,2026-05-30,98,91-180,881339.0,0.0,overdue
INV-2026-000427,Pushpa Metals Agri Inputs PVT LTD,,2026-04-17,141,91-180,880513.0,17541.75,overdue
INV-2026-001756,Nalanda Recyclers LLP,,2026-08-29,7,1-30,874148.0,744315.49,overdue
INV-2026-001208,Pushpa Metals Agri Inputs PVT LTD,,2026-07-02,65,61-90,872963.0,0.0,overdue
INV-2026-000689,Nalanda Fab Services Private Limited,,2026-07-06,61,61-90,864253.0,0.0,overdue
INV-2026-001094,Meridian Lab Supplies LLP,,2026-06-22,75,61-90,863928.0,0.0,overdue
INV-2026-000998,Suryavansh Petro Chemicals & Co,,2026-07-06,61,61-90,863125.0,0.0,overdue
INV-2026-000324,Orbitex Paper Mills PVT LTD,,2026-04-08,150,91-180,858645.0,19284.88,overdue
INV-2026-001678,Meridian Lab Supplies LLP,,2026-08-14,22,1-30,856649.0,0.0,overdue
INV-2026-000629,Orbitex Dairy Foods PVT LTD,,2026-05-07,121,91-180,854364.0,0.0,overdue
INV-2026-001315,Orbitex Packaging Private Limited,,2026-08-17,19,1-30,851672.0,0.0,overdue
INV-2026-000423,Pushpa Metals Agri Inputs PVT LTD,,2026-04-17,141,91-180,850099.0,0.0,overdue
INV-2026-000953,Vedika Facility Management & Co,,2026-07-17,50,31-60,847119.0,0.0,overdue
INV-2026-000857,Shree Balaji Hardware Private Limited,,2026-07-07,60,31-60,845408.0,0.0,overdue
INV-2026-001263,Goldcrest Steel Traders Company,,2026-07-15,52,31-60,841472.0,0.0,overdue
INV-2026-000336,Goldcrest Security Systems & Co,,2026-06-01,96,91-180,839856.0,0.0,overdue
INV-2026-000912,Pushpa Metals Agri Inputs PVT LTD,,2026-06-04,93,91-180,838218.0,0.0,overdue
INV-2026-000546,Ashwini Cold Chain Ltd,,2026-05-23,105,91-180,837138.0,0.0,overdue
INV-2026-001080,Copperleaf Electricals PVT LTD,,2026-07-27,40,31-60,836814.0,0.0,overdue
INV-2026-001283,Ashwini Solar EPC PVT LTD,,2026-08-17,19,1-30,836066.0,0.0,overdue
INV-2026-001650,Saptagiri Analytics Ltd,,2026-08-12,24,1-30,835538.0,16012.82,overdue
INV-2026-001572,Saptagiri Analytics Ltd,,2026-08-04,32,31-60,831684.0,0.0,overdue
INV-2026-000506,Meridian Lab Supplies LLP,,2026-04-25,133,91-180,820223.0,0.0,overdue
INV-2026-001367,Nalanda Recyclers LLP,,2026-07-24,43,31-60,819347.0,0.0,overdue
INV-2026-000843,Orbitex Dairy Foods PVT LTD,,2026-05-29,99,91-180,819283.0,0.0,overdue
INV-2026-000547,Vedika Textiles Company,,2026-05-08,120,91-180,818192.0,0.0,overdue
INV-2026-000898,Goldcrest Steel Traders Company,,2026-06-11,86,61-90,816812.0,0.0,overdue
INV-2026-001368,Saptagiri Analytics Ltd,,2026-07-16,51,31-60,816731.0,0.0,overdue
INV-2026-000004,Ashwini Cable Systems LLP,,2026-04-08,150,91-180,816227.0,0.0,overdue
INV-2026-000290,Meridian Lab Supplies LLP,,2026-04-06,152,91-180,815948.0,0.0,overdue
INV-2026-000562,Pushpa Metals Agri Inputs PVT LTD,,2026-05-01,127,91-180,814507.0,0.0,open
INV-2026-001336,Ashwini Interiors & Co,,2026-08-05,31,31-60,812298.0,0.0,overdue
INV-2026-001298,Orbitex Dairy Foods PVT LTD,,2026-07-09,58,31-60,812013.0,0.0,overdue
INV-2026-000614,Orbitex Paper Mills PVT LTD,,2026-05-06,122,91-180,809800.0,18187.87,overdue
INV-2026-001036,Goldcrest Security Systems & Co,,2026-08-08,28,1-30,807131.0,0.0,overdue
INV-2026-000868,Everstone Water Treatment Company,,2026-07-24,43,31-60,806012.0,0.0,overdue
INV-2026-000937,Ashwini Solar EPC PVT LTD,,2026-07-14,53,31-60,805959.0,0.0,overdue
INV-2026-000454,Anant Infra Staffing Private Limited,,2026-05-29,99,91-180,805047.0,0.0,overdue
INV-2026-000605,Suryavansh Print Solutions & Co,,2026-05-29,99,91-180,803812.0,0.0,overdue
INV-2026-000780,Vedika Facility Management & Co,,2026-06-29,68,61-90,802341.0,3128.44,overdue
INV-2026-000687,Orbitex Paper Mills PVT LTD,,2026-05-13,115,91-180,796550.0,0.0,overdue
INV-2026-001129,Ashwini Interiors & Co,,2026-07-18,49,31-60,796416.0,0.0,overdue
INV-2026-001079,Ashwini Cold Chain Ltd,,2026-07-13,54,31-60,793134.0,0.0,overdue
INV-2026-000411,Ashwini Solar EPC PVT LTD,,2026-05-25,103,91-180,791955.0,0.0,overdue
INV-2026-000644,Pushpa Metals Agri Inputs PVT LTD,,2026-05-08,120,91-180,790719.0,0.0,open
INV-2026-001494,Saptagiri Analytics Ltd,,2026-07-28,39,31-60,790508.0,0.0,overdue
INV-2026-000286,Orbitex Dairy Foods PVT LTD,,2026-04-06,152,91-180,788313.0,0.0,overdue
INV-2026-000302,Ashwini Cold Chain Ltd,,2026-04-30,128,91-180,787184.0,17470.7,overdue
INV-2026-000525,Trividata Roofing Products PVT LTD,,2026-05-21,107,91-180,785058.0,0.0,overdue
INV-2026-000150,Saptagiri Analytics Ltd,,2026-03-26,163,91-180,784113.0,0.0,overdue
INV-2026-001066,Vedika Facility Management & Co,,2026-07-27,40,31-60,782986.0,3184.05,open
INV-2026-001061,Nalanda Fab Services Private Limited,,2026-08-10,26,1-30,782770.0,0.0,overdue
INV-2026-000251,Orbitex Paper Mills PVT LTD,,2026-04-03,155,91-180,779286.0,0.0,overdue
INV-2026-000733,Trividata Roofing Products PVT LTD,,2026-06-08,89,61-90,775130.0,0.0,overdue
INV-2026-000538,Pushpa Metals Agri Inputs PVT LTD,,2026-04-29,129,91-180,774155.0,0.0,overdue
INV-2026-000632,Goldcrest Steel Traders Company,,2026-05-15,113,91-180,757911.0,0.0,overdue
INV-2026-000492,Nalanda Recyclers LLP,,2026-05-02,126,91-180,756092.0,0.0,overdue
INV-2026-000763,Orbitex Packaging Private Limited,,2026-06-27,70,61-90,753025.0,0.0,overdue
INV-2026-000609,Ashwini Interiors & Co,,2026-05-29,99,91-180,752366.0,0.0,overdue
INV-2026-000032,Goldcrest Steel Traders Company,,2026-03-26,163,91-180,741924.0,0.0,overdue
INV-2026-001108,Trividata Roofing Products PVT LTD,,2026-07-16,51,31-60,738222.0,0.0,overdue
INV-2026-001444,Vedika Textiles Company,,2026-07-31,36,31-60,738222.0,0.0,overdue
INV-2026-000445,Suryavansh Print Solutions & Co,,2026-05-13,115,91-180,731991.0,0.0,overdue
INV-2026-000253,Orbitex Dairy Foods PVT LTD,,2026-04-03,155,91-180,730399.0,0.0,overdue
INV-2026-000967,Goldcrest Security Systems & Co,,2026-08-03,33,31-60,728238.0,0.0,overdue
INV-2026-001317,Suryavansh Petro Chemicals & Co,,2026-08-03,33,31-60,728087.0,0.0,overdue
INV-2026-001378,Pushpa Metals Agri Inputs PVT LTD,,2026-07-17,50,31-60,724937.0,0.0,overdue
INV-2026-001390,Trividata Roofing Products PVT LTD,,2026-08-10,26,1-30,724721.0,0.0,overdue
INV-2026-001441,Orbitex Paper Mills PVT LTD,,2026-07-23,44,31-60,724444.0,0.0,open
INV-2026-000086,Suryavansh Catering Services Company,,2026-04-15,143,91-180,720643.0,0.0,overdue
INV-2026-001033,Suryavansh Catering Services Company,,2026-07-09,58,31-60,716062.0,0.0,open
INV-2026-000347,Zenith One Logistics & Co,,2026-05-04,124,91-180,715953.0,0.0,overdue
INV-2026-001120,Goldcrest Security Systems & Co,,2026-08-17,19,1-30,712570.0,0.0,overdue
INV-2026-001629,Meridian Lab Supplies LLP,,2026-08-10,26,1-30,712388.0,0.0,overdue
INV-2026-001582,Ashwini Interiors & Co,,2026-08-28,8,1-30,705830.0,0.0,overdue
INV-2026-001024,Suryavansh Petro Chemicals & Co,,2026-07-08,59,31-60,703640.0,0.0,overdue
