line_id,why,truth_docs,amount_paise,txn_date,narration,claimed
BL-001158,no_match,['AR-INV-2026-001416'],19622000,2026-07-21,NEFT CR ICIC0000429 900000070701 FROM GOLDCREST WAREHOU  part payment INR 196220.00,
BL-001162,no_match,['AR-INV-2026-001167'],109940600,2026-07-21,NEFT CR SBIN0000921 900000060398 FROM TRIVIDATA ROOF advance INR 1099406.00,
BL-001184,no_match,['AR-INV-2026-001327'],13461400,2026-07-23,UPI/HDFC0001234/550921246025/anancon@okhdfcbank/ANANCON CONV,
BL-001190,no_match,['AR-INV-2026-001064'],39668200,2026-07-24,NEFT CR ICIC0000429 900000055264 FROM ASHWINI CABLEPSYSTEMS PUN amc renewal INR 396682.00 ,
BL-001208,no_match,['AR-INV-2026-000782'],212630300,2026-07-25,NEFT CR SBIN0000921 900000042975 FROM ASHWSOL EP against inv INR 2126303.00,
BL-001259,partial_set,"['AR-INV-2026-001078', 'AR-INV-2026-001107', 'AR-INV-2026-001115']",54602700,2026-07-29,"UPI/HDFC0001234/400052953471/anancon@paytm/ANANT INFRA CONVEYANCES JAI/INV-2026-001078,INV",['AR-INV-2026-001107']
BL-001283,no_match,['AR-INV-2026-001230'],14467400,2026-07-31,UPI/HDFC0001234/758120090751/anancon@paytm/ANANT INFRA CONVEYANCES PVT LTD,
BL-001289,no_match,['AR-INV-2026-001564'],243923100,2026-07-31,NEFT CR ICIC0000429 900000074882 FROM ORBITEX PA invoice settlement INR 2439231.00 INV-202,
BL-001324,no_match,['AP-RT-2026-001320'],-39587200,2026-08-04,NEFT DR KKBK0000812 900000067250 FROM TRINETRA AGRI INP milestone 2 INR 395872.00,
BL-001371,no_match,['AR-INV-2026-000987'],15715900,2026-08-08,NEFT CR ICIC0000429 900000052060 FROM ASHWINI SOLAR EPC PVT LTD against inv INR 157159.00,
BL-001399,wrong_document,['AR-INV-2026-001559'],44493200,2026-08-10,UPI/HDFC0001234/278330850044/merilab@okhdfcbank/MERIDIAN LAB SUPPLIES NAG,['AR-INV-2026-001896']
BL-001479,no_match,['AR-INV-2026-001104'],24086600,2026-08-18,UPI/HDFC0001234/844935725266/everwat@okhdfcbank/EVERSTONE WATER TREATMENT COMPANY,
BL-001518,no_match,['AR-INV-2026-001432'],62073700,2026-08-21,UPI/HDFC0001234/210583712790/ashwcol@paytm/ASHWINI COLD CHAIN PRIVATE LIMITED,
BL-001555,no_match,['AR-INV-2026-001351'],42503400,2026-08-24,RTGS UTIB0002233 900000068567 SHREE BALAJI HARDWARE PRIVATE LIMITED INR 425034.00 freight ,
BL-001576,no_match,['AP-VB-2026-001554'],-73153700,2026-08-26,NEFT DR HDFC0001234 900000074651 FROM MERIDIAN POQ  against inv INR 731537.00,
BL-001624,wrong_document,['AP-RT-2026-001682'],-40854500,2026-08-31,NEFT DR ICIC0000429 900000077513 FROM EVERSTONE RECYCLERS &SCO invoice settlement INR 4085,['AP-VB-2026-001773']
BL-001702,no_match,['AR-INV-2026-001535'],55495900,2026-09-05,NEFT CR HDFC0001234 900000074236 FROM VEDIKA FACILITY FANAGEMENT & CO part payment INR 554,
