day,expected_in_paise,expected_out_paise,expected_net_paise,closing_paise,closing_p10_paise,closing_p50_paise,closing_p90_paise,band_width_paise,below_operating_minimum,top_drivers
2026-09-22,346782691,177762932,169019759,6012156104,4904583540,5690759694,6495663162,1591079622,,"INV-2026-001989·Goldcrest·p0.94 ₹226,293 | INV-2026-001481·Ashwini·p0.88 ₹160,846 | INV-2026-001753·Suryavansh·p0.88 ₹90,754"
2026-09-23,342199129,173809175,168389954,6180546058,5075637129,5888550780,6657835443,1582198314,,"INV-2026-001989·Goldcrest·p0.94 ₹229,981 | INV-2026-001481·Ashwini·p0.88 ₹140,486 | INV-2026-001753·Suryavansh·p0.88 ₹88,191"
2026-09-24,290328861,150338265,139990596,6320536654,5234237885,6054687181,6816022837,1581784952,,"INV-2026-001989·Goldcrest·p0.94 ₹202,261 | INV-2026-001481·Ashwini·p0.88 ₹107,599 | INV-2026-001753·Suryavansh·p0.88 ₹74,168"
2026-09-25,367321582,192919485,174402097,6494938751,5396706851,6212815860,6955874162,1559167311,,"INV-2026-001989·Goldcrest·p0.94 ₹249,890 | INV-2026-001481·Ashwini·p0.88 ₹117,673 | INV-2026-001753·Suryavansh·p0.88 ₹87,685"
2026-09-26,347928026,182980637,164947389,6659886140,5593750957,6377340886,7101282157,1507531200,,"INV-2026-001989·Goldcrest·p0.94 ₹229,589 | INV-2026-001481·Ashwini·p0.88 ₹97,200 | INV-2026-001753·Suryavansh·p0.88 ₹77,050"
2026-09-27,280720685,141424814,139295871,6799182011,5730443388,6510197186,7242524746,1512081358,,"INV-2026-001989·Goldcrest·p0.94 ₹223,185 | INV-2026-001481·Ashwini·p0.88 ₹86,340 | INV-2026-001753·Suryavansh·p0.88 ₹71,515"
2026-09-28,546759866,286589303,260170563,7059352574,5890657136,6675644026,7382377903,1491720767,,"INV-2026-001989·Goldcrest·p0.94 ₹314,164 | INV-2026-001608·Goldcrest·p0.81 ₹118,722 | INV-2026-001481·Ashwini·p0.88 ₹113,144"
2026-09-29,306065790,156989212,149076578,7208429152,6035962167,6815808417,7554186896,1518224729,,"INV-2026-001989·Goldcrest·p0.94 ₹155,553 | INV-2026-001608·Goldcrest·p0.81 ₹69,981 | INV-2026-001991·Ashwini·p0.85 ₹54,210"
2026-09-30,302713128,151174088,151539040,7359968192,6193727937,6949262844,7686852451,1493124514,,"INV-2026-001989·Goldcrest·p0.94 ₹132,795 | INV-2026-001608·Goldcrest·p0.81 ₹70,809 | INV-2026-001991·Ashwini·p0.85 ₹55,671"
2026-10-01,247290812,123939245,123351567,7483319759,6345572787,7105894908,7820026338,1474453551,,"INV-2026-001989·Goldcrest·p0.94 ₹99,274 | INV-2026-001608·Goldcrest·p0.81 ₹62,233 | INV-2026-001991·Ashwini·p0.85 ₹49,954"
2026-10-02,305387816,153490785,151897031,7635216790,6518153350,7256528683,7951229716,1433076366,,"INV-2026-001989·Goldcrest·p0.94 ₹106,313 | INV-2026-001608·Goldcrest·p0.81 ₹77,239 | INV-2026-001920·Shree·p0.88 ₹63,824"
2026-10-03,288578805,145510035,143068770,7778285560,6652612667,7370272596,8079353819,1426741152,,"INV-2026-001989·Goldcrest·p0.94 ₹86,695 | INV-2026-001920·Shree·p0.88 ₹72,708 | INV-2026-001608·Goldcrest·p0.81 ₹71,631"
2026-10-04,231833386,110868817,120964569,7899250129,6775782255,7488466703,8200181566,1424399311,,"INV-2026-001920·Shree·p0.88 ₹88,426 | INV-2026-001989·Goldcrest·p0.94 ₹77,126 | INV-2026-001649·Goldcrest·p0.81 ₹74,541"
2026-10-05,454311633,230417064,223894569,8123144698,6887108254,7626933427,8327375147,1440266893,,"INV-2026-001920·Shree·p0.88 ₹156,730 | INV-2026-001649·Goldcrest·p0.81 ₹122,158 | INV-2026-001778·Orbitex·p0.95 ₹117,729"
