ref_id,ref_type,code,severity,amount_paise,detail,candidates,suggested_action,engine,llm_category,llm_action,txn_date,narration,amount,triage_category,triage_owner,triage_action,triage_confidence,llm_status,question_to_ask,group_key
BL-000606,bank_line,DUPLICATE_BANK_LINE,high,99190900,UTR 900000032795 and amount already posted on line BL-000605. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-000605,verify_with_bank_then_de_dup,deterministic,,,2026-05-30,UPI/HDFC0001234/793298696729/INV-2026-000540/ashwcol@paytm/ASHWINI COLD CHAIN LTD,"₹9,91,909.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-000685,bank_line,DUPLICATE_BANK_LINE,high,14530700,UTR 900000025735 and amount already posted on line BL-000684. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-000684,verify_with_bank_then_de_dup,deterministic,,,2026-06-06,NEFT CR UTIB0002233 900000025735 FROM NALANDA FAB SERVICES LTD security deposit INR 145307,"₹1,45,307.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-000733,bank_line,DUPLICATE_BANK_LINE,high,-31130600,UTR 900000039195 and amount already posted on line BL-000732. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-000732,verify_with_bank_then_de_dup,deterministic,,,2026-06-12,NEFT DR UTIB0002233 900000039195 FROM TRINETRA AGRI INPUTS COMPANY invoice settlement INR,"-₹3,11,306.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-000836,bank_line,DUPLICATE_BANK_LINE,high,-50832700,UTR 900000046113 and amount already posted on line BL-000835. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-000835,verify_with_bank_then_de_dup,deterministic,,,2026-06-23,RTGS SBIN0000921 900000046113 VAISHNAVI PIPING SOLUTIONS LTD INR 508327.00 advance VB-2026,"-₹5,08,327.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001011,bank_line,DUPLICATE_BANK_LINE,high,-24043000,UTR 900000040085 and amount already posted on line BL-001010. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001010,verify_with_bank_then_de_dup,deterministic,,,2026-07-09,NEFT DR ICIC0000429 900000040085 FROM GOLDCREST STEEL TRADERS COMPANY milestone 2 INR 2404,"-₹2,40,430.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001018,bank_line,DUPLICATE_BANK_LINE,high,21259800,UTR 900000062352 and amount already posted on line BL-001017. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001017,verify_with_bank_then_de_dup,deterministic,,,2026-07-09,NEFT CR KKBK0000812 900000062352 FROM PUSHAGR INPUTS  milestone 2 INR 212598.00 INV-2026-0,"₹2,12,598.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001049,bank_line,DUPLICATE_BANK_LINE,high,-26582900,UTR 900000051493 and amount already posted on line BL-001048. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001048,verify_with_bank_then_de_dup,deterministic,,,2026-07-13,UPI/HDFC0001234/910157703935/VB-2026-000975/pragcon@okaxis/PRAGATI CONVEYANCES,"-₹2,65,829.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001110,bank_line,DUPLICATE_BANK_LINE,high,45474700,UTR 900000066258 and amount already posted on line BL-001109. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001109,verify_with_bank_then_de_dup,deterministic,,,2026-07-17,UPI/HDFC0001234/206650164830/nalarec@ybl/NALANDA RE/INV-2026-001299,"₹4,54,747.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001122,bank_line,DUPLICATE_BANK_LINE,high,45598900,UTR 900000063623 and amount already posted on line BL-001121. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001121,verify_with_bank_then_de_dup,deterministic,,,2026-07-18,CHQ CLG VEDIKA TEXTILES COMPANY INV-2026-001241,"₹4,55,989.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001133,bank_line,DUPLICATE_BANK_LINE,high,-39030400,UTR 900000051699 and amount already posted on line BL-001132. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001132,verify_with_bank_then_de_dup,deterministic,,,2026-07-20,NEFT DR KKBK0000812 900000051699 FROM KARMAN PRINT  milestone 2 INR 390304.00,"-₹3,90,304.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001164,bank_line,DUPLICATE_BANK_LINE,high,111475600,UTR 900000070512 and amount already posted on line BL-001163. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001163,verify_with_bank_then_de_dup,deterministic,,,2026-07-21,RTGS SBIN0000921 900000070512 SAPTAGIRI ANALYTICS KOC INR 1114756.00 freight charges,"₹11,14,756.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001211,bank_line,DUPLICATE_BANK_LINE,high,-80126600,UTR 900000062670 and amount already posted on line BL-001210. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001210,verify_with_bank_then_de_dup,deterministic,,,2026-07-27,CHQ CLG ANANT INFRA ELECTRICALS PVT LTD,"-₹8,01,266.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001234,bank_line,DUPLICATE_BANK_LINE,high,-57248800,UTR 900000053030 and amount already posted on line BL-001233. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001233,verify_with_bank_then_de_dup,deterministic,,,2026-07-28,NEFT DR HDFC0001234 900000053030 FROM SHREE BALAJI ANALYTICS PRI milestone 2 INR 572488.00,"-₹5,72,488.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001257,bank_line,DUPLICATE_BANK_LINE,high,28349400,UTR 900000054084 and amount already posted on line BL-001256. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001256,verify_with_bank_then_de_dup,deterministic,,,2026-07-29,CHQ CLG TRINETRA PIPING SOLUTIONS LLP,"₹2,83,494.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001386,bank_line,DUPLICATE_BANK_LINE,high,-11508700,UTR 900000053966 and amount already posted on line BL-001385. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001385,verify_with_bank_then_de_dup,deterministic,,,2026-08-10,UPI/HDFC0001234/322791747016/karmcat@okhdfcbank/KARMAN CATERING SERVICES FAR,"-₹1,15,087.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001396,bank_line,DUPLICATE_BANK_LINE,high,29222300,UTR 900000074496 and amount already posted on line BL-001395. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001395,verify_with_bank_then_de_dup,deterministic,,,2026-08-10,NEFT CR KKBK0000812 900000074496 FROM PUSHPA MET material supply INR 292223.00 INV-2026-00,"₹2,92,223.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001464,bank_line,DUPLICATE_BANK_LINE,high,43952100,UTR 900000060984 and amount already posted on line BL-001463. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001463,verify_with_bank_then_de_dup,deterministic,,,2026-08-17,NEFT CR SBIN0000921 900000060984 FROM ANANT INFRA STAFFING advance INR 439521.00 INV-2026-,"₹4,39,521.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001620,bank_line,DUPLICATE_BANK_LINE,high,-95877600,UTR 900000077016 and amount already posted on line BL-001619. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001619,verify_with_bank_then_de_dup,deterministic,,,2026-08-31,VB-2026-001655 NEFT DR KKBK0000812 900000077016 FROM EVERSTONE RECYCLERS & CO security dep,"-₹9,58,776.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001645,bank_line,DUPLICATE_BANK_LINE,high,-34338200,UTR 900000077774 and amount already posted on line BL-001644. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001644,verify_with_bank_then_de_dup,deterministic,,,2026-09-01,CHQ CLG ANANT INFRA ELECTRICALS LTD,"-₹3,43,382.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001666,bank_line,DUPLICATE_BANK_LINE,high,128371800,UTR 900000064277 and amount already posted on line BL-001665. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001665,verify_with_bank_then_de_dup,deterministic,,,2026-09-02,UPI/HDFC0001234/628698421261/INV-2026-001256/everwat@okhdfcbank/EVERSTONE WATER TREATMENT,"₹12,83,718.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-001685,bank_line,DUPLICATE_BANK_LINE,high,268030100,UTR 900000063430 and amount already posted on line BL-001684. Two ledger entries for one bank movement - confirm the statement itself is not duplicated before reposting.,BL-001684,verify_with_bank_then_de_dup,deterministic,,,2026-09-03,INV-2026-001237 NEFT CR SBIN0000921 900000063430 FROM GOLDSEC SYSTEMS  milestone 2 INR 268,"₹26,80,301.00",duplicate_bank_posting,Banking-ops,verify_with_bank_then_de_dup,0.00,not_attempted,,
BL-000882,bank_line,RESIDUAL_UNALLOCATED,medium,85909500,"₹8,59,095.00 of this line is still unallocated after posting AR-INV-2026-000982 (18 open documents could absorb it).",INV-2026-000186/Orbitex Dairy Foods PVT LTD;INV-2026-000253/Orbitex Dairy Foods PVT LTD;INV-2026-000286/Orbitex Dairy Foods PVT LTD;INV-2026-000304/Orbitex Dairy Foods PVT LTD;INV-2026-000335/Orbitex Dairy Foods PVT LTD;INV-2026-000482/Orbitex Dairy Foods PVT LTD,ask_customer_for_invoice_breakup,deterministic,,,2026-06-27,"UPI/HDFC0001234/463703849643/orbidai@okaxis/ORBITEX DAIRY FOODS PVT LTD/INV-2026-000970,IN","₹8,59,095.00",unknown,Banking-ops,investigate_manually,0.00,not_attempted,,
BL-001259,bank_line,RESIDUAL_UNALLOCATED,medium,28317600,"₹2,83,176.00 of this line is still unallocated after posting AR-INV-2026-001107 (17 open documents could absorb it).",INV-2026-000422/Anant Infra Conveyances PVT LTD;INV-2026-000428/Anant Infra Conveyances PVT LTD;INV-2026-000464/Anant Infra Conveyances PVT LTD;INV-2026-000468/Anant Infra Conveyances PVT LTD;INV-2026-000662/Anant Infra Conveyances PVT LTD;INV-2026-000704/Anant Infra Conveyances PVT LTD,ask_customer_for_invoice_breakup,deterministic,,,2026-07-29,"UPI/HDFC0001234/400052953471/anancon@paytm/ANANT INFRA CONVEYANCES JAI/INV-2026-001078,INV","₹2,83,176.00",unknown,Banking-ops,investigate_manually,0.00,not_attempted,,
BL-000074,bank_line,SHORT_DEDUCTION,medium,-905900,"Payment of -59195700 settles AP-RT-2026-000097 but is off by -905900 paise, beyond the 295978 paise tolerance. Needs a credit note / write-off, not a silent match.",AP-RT-2026-000097,raise_credit_note_or_writeoff,deterministic,,,2026-04-07,RT-2026-000097 CHQ CLG ANANELE ELE  RT-2026-000097,"-₹9,059.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000099,bank_line,SHORT_DEDUCTION,medium,-2031100,"Payment of 41905800 settles AR-INV-2026-000248 but is off by -2031100 paise, beyond the 209529 paise tolerance. Needs a credit note / write-off, not a silent match.",AR-INV-2026-000248,raise_credit_note_or_writeoff,deterministic,,,2026-04-10,INV-2026-000248 RTGS KKBK0000812 900000019755 SAPTAGIRI ANALYTICS LTD INR 419058.00 invoic,"-₹20,311.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000134,bank_line,SHORT_DEDUCTION,medium,-1608300,"Payment of -41841300 settles AP-RT-2026-000068 but is off by -1608300 paise, beyond the 209206 paise tolerance. Needs a credit note / write-off, not a silent match.",AP-RT-2026-000068,raise_credit_note_or_writeoff,deterministic,,,2026-04-17,UPI/HDFC0001234/267551933154/RT-2026-000068/pragcon@okhdfcbank/PRAGATI CONVEYANCES,"-₹16,083.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000194,bank_line,SHORT_DEDUCTION,medium,-2749500,"Payment of -69835100 settles AP-RT-2026-000096 but is off by -2749500 paise, beyond the 349175 paise tolerance. Needs a credit note / write-off, not a silent match.",AP-RT-2026-000096,raise_credit_note_or_writeoff,deterministic,,,2026-04-24,RT-2026-000096 NEFT DR KKBK0000812 900000012780 FROM NORTHLINE ROOFING PRODUCTS PVT LTD pa,"-₹27,495.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000337,bank_line,SHORT_DEDUCTION,medium,-447100,"Payment of 13794200 settles AR-INV-2026-000596 but is off by -447100 paise, beyond the 68971 paise tolerance. Needs a credit note / write-off, not a silent match.",AR-INV-2026-000596,raise_credit_note_or_writeoff,deterministic,,,2026-05-08,INV-2026-000596 RTGS HDFC0001234 900000035608 SAPTAGIRI ANALYTIVS LTD INR 137942.00 freigh,"-₹4,471.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000381,bank_line,SHORT_DEDUCTION,medium,-1659500,"Payment of -35107300 settles AP-RT-2026-000116 but is off by -1659500 paise, beyond the 175536 paise tolerance. Needs a credit note / write-off, not a silent match.",AP-RT-2026-000116,raise_credit_note_or_writeoff,deterministic,,,2026-05-13,UPI/HDFC0001234/883279785878/RT-2026-000116/eversta@okhdfcbank/EVERSTONE STAFFING & CO,"-₹16,595.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000459,bank_line,SHORT_DEDUCTION,medium,-557800,"Payment of 25949200 settles AR-INV-2026-000624 but is off by -557800 paise, beyond the 129746 paise tolerance. Needs a credit note / write-off, not a silent match.",AR-INV-2026-000624,raise_credit_note_or_writeoff,deterministic,,,2026-05-18,UPI/HDFC0001234/928723237136/nalarec@paytm/NALANNA RECYCLERS P/INV-2026-000624,"-₹5,578.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000488,bank_line,SHORT_DEDUCTION,medium,-2517300,"Payment of 39851900 settles AR-INV-2026-000349 but is off by -2517300 paise, beyond the 199259 paise tolerance. Needs a credit note / write-off, not a silent match.",AR-INV-2026-000349,raise_credit_note_or_writeoff,deterministic,,,2026-05-20,INV-2026-000349 NEFT CR HDFC0001234 900000024079 FROM ORBIPAC PACKAGING advance INR 398519,"-₹25,173.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000492,bank_line,SHORT_DEDUCTION,medium,-2434000,"Payment of -64816300 settles AP-RT-2026-000294 but is off by -2434000 paise, beyond the 324081 paise tolerance. Needs a credit note / write-off, not a silent match.",AP-RT-2026-000294,raise_credit_note_or_writeoff,deterministic,,,2026-05-21,RT-2026-000294 NEFT DR HDFC0001234 900000021584 FROM PRAGATI FA amc renewal INR 648163.00,"-₹24,340.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000629,bank_line,SHORT_DEDUCTION,medium,-1006400,"Payment of 40139700 settles AR-INV-2026-000214 but is off by -1006400 paise, beyond the 200698 paise tolerance. Needs a credit note / write-off, not a silent match.",AR-INV-2026-000214,raise_credit_note_or_writeoff,deterministic,,,2026-06-01,INV-2026-000214 NEFT CR KKBK0000812 900000018364 FROM GOLDCREST SECURITY SYSTEMS & CO invo,"-₹10,064.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000721,bank_line,SHORT_DEDUCTION,medium,-367500,"Payment of 50154400 settles AR-INV-2026-000490 but is off by -367500 paise, beyond the 250772 paise tolerance. Needs a credit note / write-off, not a silent match.",AR-INV-2026-000490,raise_credit_note_or_writeoff,deterministic,,,2026-06-10,INV-2026-000490 NEFT CR ICIC0000429 900000030636 FROM ANANT INFRA STAFFING HUB invoice set,"-₹3,675.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000752,bank_line,SHORT_DEDUCTION,medium,-1305000,"Payment of -22497800 settles AP-VB-2026-000904 but is off by -1305000 paise, beyond the 112489 paise tolerance. Needs a credit note / write-off, not a silent match.",AP-VB-2026-000904,raise_credit_note_or_writeoff,deterministic,,,2026-06-15,VB-2026-000904 CHQ CLG ANANT INFRA EL VB-2026-000904,"-₹13,050.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000793,bank_line,SHORT_DEDUCTION,medium,-1108100,"Payment of 147072000 settles AR-INV-2026-000688 but is off by -1108100 paise, beyond the 500000 paise tolerance. Needs a credit note / write-off, not a silent match.",AR-INV-2026-000688,raise_credit_note_or_writeoff,deterministic,,,2026-06-18,INV-2026-000688 NEFT CR SBIN0000921 900000039373 FROM SAHYADRI POLYMERS freight charges IN,"-₹11,081.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000798,bank_line,SHORT_DEDUCTION,medium,-1471700,"Payment of -25806500 settles AP-VB-2026-000801 but is off by -1471700 paise, beyond the 129032 paise tolerance. Needs a credit note / write-off, not a silent match.",AP-VB-2026-000801,raise_credit_note_or_writeoff,deterministic,,,2026-06-19,VB-2026-000801 NEFT DR HDFC0001234 900000043786 FROM PRAGATI FAB SERVICES NOI security dep,"-₹14,717.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000825,bank_line,SHORT_DEDUCTION,medium,-1082300,"Payment of 38456600 settles AR-INV-2026-001088 but is off by -1082300 paise, beyond the 192283 paise tolerance. Needs a credit note / write-off, not a silent match.",AR-INV-2026-001088,raise_credit_note_or_writeoff,deterministic,,,2026-06-22,INV-2026-001088 NEFT CR HDFC0001234 900000056242 FROM ORBITEX PAPER MILLS PVT LTD full and,"-₹10,823.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000826,bank_line,SHORT_DEDUCTION,medium,-1014400,"Payment of 43194300 settles AR-INV-2026-000744 but is off by -1014400 paise, beyond the 215971 paise tolerance. Needs a credit note / write-off, not a silent match.",AR-INV-2026-000744,raise_credit_note_or_writeoff,deterministic,,,2026-06-22,INV-2026-000744 NEFT CR HDFC0001234 900000041412 FROM COPPERLEAF ELECTRICALS LTD against i,"-₹10,144.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000843,bank_line,SHORT_DEDUCTION,medium,-1930600,"Payment of 52451600 settles AR-INV-2026-000934 but is off by -1930600 paise, beyond the 262258 paise tolerance. Needs a credit note / write-off, not a silent match.",AR-INV-2026-000934,raise_credit_note_or_writeoff,deterministic,,,2026-06-23,INV-2026-000934 CHQ CLG VEDIKA TEXTILES PRIVATE LIMITED INV-2026-000934,"-₹19,306.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000862,bank_line,SHORT_DEDUCTION,medium,-352700,"Payment of -5660600 settles AP-RT-2026-000853 but is off by -352700 paise, beyond the 28303 paise tolerance. Needs a credit note / write-off, not a silent match.",AP-RT-2026-000853,raise_credit_note_or_writeoff,deterministic,,,2026-06-25,RT-2026-000853 NEFT DR UTIB0002233 900000045674 FROM MERIDIAN POLYM milestone 2 INR 56606.,"-₹3,527.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-000895,bank_line,SHORT_DEDUCTION,medium,-756400,"Payment of -23401500 settles AP-VB-2026-000635 but is off by -756400 paise, beyond the 117007 paise tolerance. Needs a credit note / write-off, not a silent match.",AP-VB-2026-000635,raise_credit_note_or_writeoff,deterministic,,,2026-06-29,NEFT DR SBIN0000921 900000037186 FROM PRAGATI FAB advance INR 234015.00 VB-2026-000635,"-₹7,564.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-001012,bank_line,SHORT_DEDUCTION,medium,-722200,"Payment of -15652100 settles AP-VB-2026-001009 but is off by -722200 paise, beyond the 78260 paise tolerance. Needs a credit note / write-off, not a silent match.",AP-VB-2026-001009,raise_credit_note_or_writeoff,deterministic,,,2026-07-09,VB-2026-001009 CHQ CLG ORBITEX WAREHOUSING PVT LTD VB-2026-001009,"-₹7,222.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-001026,bank_line,SHORT_DEDUCTION,medium,-732300,"Payment of 34291300 settles AR-INV-2026-001002 but is off by -732300 paise, beyond the 171456 paise tolerance. Needs a credit note / write-off, not a silent match.",AR-INV-2026-001002,raise_credit_note_or_writeoff,deterministic,,,2026-07-10,UPI/HDFC0001234/475518988949/INV-2026-001002/ashwcol@okaxis/ASHWINI COLD CHAIN LTD,"-₹7,323.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-001041,bank_line,SHORT_DEDUCTION,medium,-4680900,"Payment of -77879300 settles AP-VB-2026-001029 but is off by -4680900 paise, beyond the 389396 paise tolerance. Needs a credit note / write-off, not a silent match.",AP-VB-2026-001029,raise_credit_note_or_writeoff,deterministic,,,2026-07-13,RTGS SBIN0000921 900000053914 VAISHNAVI PIPING INR 778793.00 against inv VB-2026-001029,"-₹46,809.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
BL-001120,bank_line,SHORT_DEDUCTION,medium,-880800,"Payment of 34039800 settles AR-INV-2026-001075 but is off by -880800 paise, beyond the 170199 paise tolerance. Needs a credit note / write-off, not a silent match.",AR-INV-2026-001075,raise_credit_note_or_writeoff,deterministic,,,2026-07-18,UPI/HDFC0001234/194734820565/INV-2026-001075/anancon@okhdfcbank/ANANT INFRA CONVEYAN,"-₹8,808.00",partial_or_short_payment,Banking-ops,raise_credit_note_or_writeoff,0.00,not_attempted,,
