document_id,document_no,counterparty,counterparty_code,document_date,due_date,gross_amount,gst_rate,gst_amount,net_amount,paid_amount,status,currency,notes
AP-VB-2026-000037,VB-2026-000037,Meridian Water Treatment & Co,VEND-009,2026-05-13,2026-06-27,49786.00,0.18,5974.00,49786.00,49786.00,paid,INR,purchase bill
AP-RT-2026-000044,RT-2026-000044,Raman Deep Hardware Private Limited,VEND-002,2026-05-14,2026-07-13,490601.00,0.18,88308.00,490601.00,490601.00,paid,INR,purchase bill
AP-VB-2026-000045,VB-2026-000045,Shree Balaji Electricals & Co,VEND-004,2026-05-14,2026-06-29,556126.00,0.18,27806.00,556126.00,556126.00,paid,INR,purchase bill
AP-RT-2026-000051,RT-2026-000051,Meridian Water Treatment & Co,VEND-009,2026-05-15,2026-06-29,17286.00,0.18,3111.00,17286.00,17286.00,paid,INR,purchase bill
AP-VB-2026-000052,VB-2026-000052,Vaishnavi Logistics Ltd,VEND-006,2026-05-15,2026-06-15,877686.00,0.18,105322.00,877686.00,877686.00,paid,INR,purchase bill
AP-RT-2026-000053,RT-2026-000053,Karman Conveyances PVT LTD,VEND-005,2026-05-15,2026-05-30,359066.00,0.18,43088.00,359066.00,359066.00,paid,INR,purchase bill
AP-RT-2026-000054,RT-2026-000054,Vaishnavi Logistics Ltd,VEND-006,2026-05-15,2026-06-15,215059.00,0.18,10753.00,215059.00,215059.00,paid,INR,purchase bill
AP-VB-2026-000055,VB-2026-000055,Raman Deep Polymers Company,VEND-001,2026-05-15,2026-05-30,890286.00,0.18,160251.00,890286.00,890286.00,paid,INR,purchase bill
AP-RT-2026-000059,RT-2026-000059,Saptagiri Machine Parts & Co,VEND-003,2026-05-16,2026-06-15,656346.00,0.18,32817.00,656346.00,656346.00,paid,INR,purchase bill
AP-RT-2026-000060,RT-2026-000060,Raman Deep Polymers Company,VEND-001,2026-05-16,2026-06-01,70482.00,0.18,3524.00,70482.00,70482.00,paid,INR,purchase bill
AP-VB-2026-000062,VB-2026-000062,Raman Deep Polymers Company,VEND-001,2026-05-17,2026-06-01,81164.00,0.18,4058.00,81164.00,81164.00,paid,INR,purchase bill
AP-RT-2026-000063,RT-2026-000063,Vaishnavi Logistics Ltd,VEND-006,2026-05-17,2026-06-16,268152.00,0.18,48267.00,268152.00,268152.00,paid,INR,purchase bill
AP-VB-2026-000064,VB-2026-000064,Vaishnavi Logistics Ltd,VEND-006,2026-05-17,2026-06-16,498904.00,0.18,24945.00,498904.00,498904.00,paid,INR,purchase bill
AP-VB-2026-000065,VB-2026-000065,Raman Deep Polymers Company,VEND-001,2026-05-17,2026-06-01,207337.00,0.18,37321.00,207337.00,207337.00,paid,INR,purchase bill
AP-VB-2026-000070,VB-2026-000070,Raman Deep Hardware Private Limited,VEND-002,2026-05-18,2026-07-17,320930.00,0.18,16047.00,320930.00,320930.00,paid,INR,purchase bill
AP-RT-2026-000071,RT-2026-000071,Nalanda Recyclers Ltd,VEND-007,2026-05-18,2026-06-02,184437.00,0.18,33199.00,184437.00,184437.00,paid,INR,purchase bill
AP-RT-2026-000072,RT-2026-000072,Karman Conveyances PVT LTD,VEND-005,2026-05-18,2026-06-02,446708.00,0.18,80407.00,446708.00,446708.00,paid,INR,purchase bill
AP-RT-2026-000076,RT-2026-000076,Indusloom Warehousing & Co,VEND-010,2026-05-19,2026-07-03,113149.00,0.18,20367.00,113149.00,113149.00,paid,INR,purchase bill
AP-VB-2026-000077,VB-2026-000077,Saptagiri Machine Parts & Co,VEND-003,2026-05-19,2026-06-18,264648.00,0.18,13232.00,264648.00,264648.00,paid,INR,purchase bill
AP-VB-2026-000078,VB-2026-000078,Raman Deep Polymers Company,VEND-001,2026-05-19,2026-06-03,500091.00,0.18,90016.00,500091.00,500091.00,paid,INR,purchase bill
AP-VB-2026-000079,VB-2026-000079,Raman Deep Polymers Company,VEND-001,2026-05-19,2026-06-03,432708.00,0.18,51925.00,432708.00,432708.00,paid,INR,purchase bill
AP-VB-2026-000080,VB-2026-000080,Adishakti Solar EPC Company,VEND-008,2026-05-19,2026-06-18,105696.00,0.18,12684.00,105696.00,105696.00,paid,INR,purchase bill
AP-VB-2026-000085,VB-2026-000085,Meridian Water Treatment & Co,VEND-009,2026-05-20,2026-07-04,73559.00,0.18,13241.00,73559.00,73559.00,paid,INR,purchase bill
AP-RT-2026-000086,RT-2026-000086,Meridian Water Treatment & Co,VEND-009,2026-05-20,2026-07-04,86204.00,0.18,15517.00,86204.00,86204.00,paid,INR,purchase bill
AP-RT-2026-000087,RT-2026-000087,Saptagiri Machine Parts & Co,VEND-003,2026-05-20,2026-06-19,560397.00,0.18,100871.00,560397.00,560397.00,paid,INR,purchase bill
AP-RT-2026-000089,RT-2026-000089,Raman Deep Hardware Private Limited,VEND-002,2026-05-21,2026-07-20,349283.00,0.18,62871.00,349283.00,349283.00,paid,INR,purchase bill
AP-RT-2026-000090,RT-2026-000090,Shree Balaji Electricals & Co,VEND-004,2026-05-21,2026-07-06,656984.00,0.18,78838.00,656984.00,628112.00,partial,INR,purchase bill short deduction
AP-VB-2026-000091,VB-2026-000091,Adishakti Solar EPC Company,VEND-008,2026-05-21,2026-06-20,385853.00,0.18,69454.00,385853.00,369849.00,partial,INR,purchase bill short deduction
AP-VB-2026-000092,VB-2026-000092,Raman Deep Polymers Company,VEND-001,2026-05-21,2026-06-05,96110.00,0.18,17300.00,96110.00,96110.00,paid,INR,purchase bill
AP-RT-2026-000098,RT-2026-000098,Shree Balaji Electricals & Co,VEND-004,2026-05-22,2026-07-06,191391.00,0.18,34450.00,191391.00,191391.00,paid,INR,purchase bill
AP-RT-2026-000100,RT-2026-000100,Indusloom Warehousing & Co,VEND-010,2026-05-23,2026-07-07,75758.00,0.18,9091.00,75758.00,75758.00,paid,INR,purchase bill
AP-VB-2026-000101,VB-2026-000101,Indusloom Warehousing & Co,VEND-010,2026-05-23,2026-07-07,69469.00,0.18,8336.00,69469.00,69469.00,paid,INR,purchase bill
AP-VB-2026-000106,VB-2026-000106,Raman Deep Hardware Private Limited,VEND-002,2026-05-25,2026-07-24,279055.00,0.18,50230.00,279055.00,279055.00,paid,INR,purchase bill
AP-RT-2026-000107,RT-2026-000107,Raman Deep Polymers Company,VEND-001,2026-05-25,2026-06-09,62131.00,0.18,11184.00,62131.00,62131.00,paid,INR,purchase bill
AP-VB-2026-000114,VB-2026-000114,Karman Conveyances PVT LTD,VEND-005,2026-05-26,2026-06-10,249179.00,0.18,29901.00,249179.00,249179.00,paid,INR,purchase bill
AP-RT-2026-000115,RT-2026-000115,Vaishnavi Logistics Ltd,VEND-006,2026-05-26,2026-06-25,84104.00,0.18,15139.00,84104.00,84104.00,paid,INR,purchase bill
AP-RT-2026-000116,RT-2026-000116,Indusloom Warehousing & Co,VEND-010,2026-05-26,2026-07-10,75228.00,0.18,9027.00,75228.00,75228.00,paid,INR,purchase bill
AP-VB-2026-000117,VB-2026-000117,Adishakti Solar EPC Company,VEND-008,2026-05-26,2026-06-25,309401.00,0.18,55692.00,309401.00,309401.00,paid,INR,purchase bill
AP-VB-2026-000118,VB-2026-000118,Indusloom Warehousing & Co,VEND-010,2026-05-26,2026-07-10,107229.00,0.18,19301.00,107229.00,107229.00,paid,INR,purchase bill
AP-RT-2026-000125,RT-2026-000125,Shree Balaji Electricals & Co,VEND-004,2026-05-27,2026-07-11,599388.00,0.18,107890.00,599388.00,599388.00,paid,INR,purchase bill
AP-VB-2026-000126,VB-2026-000126,Adishakti Solar EPC Company,VEND-008,2026-05-27,2026-06-26,308999.00,0.18,55620.00,308999.00,302643.00,partial,INR,purchase bill short deduction
AP-RT-2026-000129,RT-2026-000129,Saptagiri Machine Parts & Co,VEND-003,2026-05-28,2026-06-27,604631.00,0.18,108834.00,604631.00,604631.00,paid,INR,purchase bill
AP-VB-2026-000130,VB-2026-000130,Raman Deep Polymers Company,VEND-001,2026-05-28,2026-06-12,89983.00,0.18,10798.00,89983.00,89983.00,paid,INR,purchase bill
AP-VB-2026-000131,VB-2026-000131,Raman Deep Hardware Private Limited,VEND-002,2026-05-28,2026-07-27,409576.00,0.18,73724.00,409576.00,409576.00,paid,INR,purchase bill
AP-VB-2026-000132,VB-2026-000132,Indusloom Warehousing & Co,VEND-010,2026-05-28,2026-07-13,64767.00,0.18,11658.00,64767.00,64767.00,paid,INR,purchase bill
AP-RT-2026-000133,RT-2026-000133,Saptagiri Machine Parts & Co,VEND-003,2026-05-28,2026-06-27,608777.00,0.18,73053.00,608777.00,608777.00,paid,INR,purchase bill
AP-RT-2026-000134,RT-2026-000134,Indusloom Warehousing & Co,VEND-010,2026-05-28,2026-07-13,67128.00,0.18,12083.00,67128.00,67128.00,paid,INR,purchase bill
AP-VB-2026-000143,VB-2026-000143,Meridian Water Treatment & Co,VEND-009,2026-05-29,2026-07-13,133829.00,0.18,6691.00,133829.00,133829.00,paid,INR,purchase bill
AP-VB-2026-000144,VB-2026-000144,Meridian Water Treatment & Co,VEND-009,2026-05-29,2026-07-13,52846.00,0.18,2642.00,52846.00,52846.00,paid,INR,purchase bill
AP-VB-2026-000145,VB-2026-000145,Meridian Water Treatment & Co,VEND-009,2026-05-29,2026-07-13,48926.00,0.18,8807.00,48926.00,48926.00,paid,INR,purchase bill
AP-VB-2026-000146,VB-2026-000146,Raman Deep Polymers Company,VEND-001,2026-05-29,2026-06-13,181090.00,0.18,32596.00,181090.00,181090.00,paid,INR,purchase bill
AP-VB-2026-000148,VB-2026-000148,Saptagiri Machine Parts & Co,VEND-003,2026-05-30,2026-06-29,461052.00,0.18,82989.00,461052.00,461052.00,paid,INR,purchase bill
AP-VB-2026-000149,VB-2026-000149,Saptagiri Machine Parts & Co,VEND-003,2026-05-30,2026-06-29,182024.00,0.18,32764.00,182024.00,182024.00,paid,INR,purchase bill
AP-RT-2026-000150,RT-2026-000150,Shree Balaji Electricals & Co,VEND-004,2026-05-30,2026-07-14,562000.00,0.18,101160.00,562000.00,562000.00,paid,INR,purchase bill
AP-VB-2026-000151,VB-2026-000151,Raman Deep Polymers Company,VEND-001,2026-05-30,2026-06-15,165588.00,0.18,8279.00,165588.00,165588.00,paid,INR,purchase bill
AP-RT-2026-000152,RT-2026-000152,Vaishnavi Logistics Ltd,VEND-006,2026-05-31,2026-06-30,1752961.00,0.18,315533.00,1752961.00,1752961.00,paid,INR,purchase bill
AP-VB-2026-000153,VB-2026-000153,Shree Balaji Electricals & Co,VEND-004,2026-05-31,2026-07-15,460922.00,0.18,82966.00,460922.00,460922.00,paid,INR,purchase bill
AP-VB-2026-000154,VB-2026-000154,Vaishnavi Logistics Ltd,VEND-006,2026-05-31,2026-06-30,942255.00,0.18,113071.00,942255.00,942255.00,paid,INR,purchase bill
AP-RT-2026-000155,RT-2026-000155,Vaishnavi Logistics Ltd,VEND-006,2026-05-31,2026-06-30,363776.00,0.18,65480.00,363776.00,363776.00,paid,INR,purchase bill
AP-RT-2026-000165,RT-2026-000165,Adishakti Solar EPC Company,VEND-008,2026-06-01,2026-07-01,183942.00,0.18,33110.00,183942.00,183942.00,paid,INR,purchase bill
AP-VB-2026-000166,VB-2026-000166,Vaishnavi Logistics Ltd,VEND-006,2026-06-01,2026-07-01,176453.00,0.18,21174.00,176453.00,176453.00,paid,INR,purchase bill
AP-VB-2026-000167,VB-2026-000167,Saptagiri Machine Parts & Co,VEND-003,2026-06-01,2026-07-01,159159.00,0.18,7958.00,159159.00,159159.00,paid,INR,purchase bill
AP-VB-2026-000168,VB-2026-000168,Vaishnavi Logistics Ltd,VEND-006,2026-06-01,2026-07-01,76970.00,0.18,13855.00,76970.00,76970.00,paid,INR,purchase bill
AP-RT-2026-000169,RT-2026-000169,Karman Conveyances PVT LTD,VEND-005,2026-06-01,2026-06-16,303600.00,0.18,54648.00,303600.00,303600.00,paid,INR,purchase bill
AP-RT-2026-000170,RT-2026-000170,Raman Deep Polymers Company,VEND-001,2026-06-01,2026-06-16,771509.00,0.18,138872.00,771509.00,771509.00,paid,INR,purchase bill
AP-VB-2026-000176,VB-2026-000176,Meridian Water Treatment & Co,VEND-009,2026-06-02,2026-07-17,35389.00,0.18,6370.00,35389.00,33843.00,partial,INR,purchase bill short deduction
AP-RT-2026-000177,RT-2026-000177,Raman Deep Hardware Private Limited,VEND-002,2026-06-02,2026-08-01,265325.00,0.18,47758.00,265325.00,263411.00,partial,INR,purchase bill short deduction
AP-VB-2026-000178,VB-2026-000178,Vaishnavi Logistics Ltd,VEND-006,2026-06-02,2026-07-02,126748.00,0.18,6337.00,126748.00,126748.00,paid,INR,purchase bill
AP-RT-2026-000179,RT-2026-000179,Vaishnavi Logistics Ltd,VEND-006,2026-06-02,2026-07-02,400337.00,0.18,48040.00,400337.00,400337.00,paid,INR,purchase bill
AP-VB-2026-000180,VB-2026-000180,Nalanda Recyclers Ltd,VEND-007,2026-06-02,2026-06-17,196126.00,0.18,35303.00,196126.00,196126.00,paid,INR,purchase bill
AP-VB-2026-000187,VB-2026-000187,Saptagiri Machine Parts & Co,VEND-003,2026-06-03,2026-07-03,507591.00,0.18,91366.00,507591.00,502248.00,partial,INR,purchase bill short deduction
AP-VB-2026-000188,VB-2026-000188,Meridian Water Treatment & Co,VEND-009,2026-06-03,2026-07-18,87280.00,0.18,4364.00,87280.00,87280.00,paid,INR,purchase bill
AP-RT-2026-000189,RT-2026-000189,Indusloom Warehousing & Co,VEND-010,2026-06-03,2026-07-18,89883.00,0.18,16179.00,89883.00,89883.00,paid,INR,purchase bill
AP-RT-2026-000194,RT-2026-000194,Raman Deep Hardware Private Limited,VEND-002,2026-06-04,2026-08-03,158929.00,0.18,28607.00,158929.00,158929.00,paid,INR,purchase bill
AP-RT-2026-000195,RT-2026-000195,Nalanda Recyclers Ltd,VEND-007,2026-06-04,2026-06-19,253109.00,0.18,12655.00,253109.00,246996.00,partial,INR,purchase bill short deduction
AP-VB-2026-000203,VB-2026-000203,Meridian Water Treatment & Co,VEND-009,2026-06-05,2026-07-20,184290.00,0.18,33172.00,184290.00,184290.00,paid,INR,purchase bill
AP-VB-2026-000204,VB-2026-000204,Nalanda Recyclers Ltd,VEND-007,2026-06-05,2026-06-20,245797.00,0.18,12290.00,245797.00,245797.00,paid,INR,purchase bill
AP-VB-2026-000208,VB-2026-000208,Meridian Water Treatment & Co,VEND-009,2026-06-06,2026-07-21,213393.00,0.18,38411.00,213393.00,213393.00,paid,INR,purchase bill
AP-RT-2026-000209,RT-2026-000209,Adishakti Solar EPC Company,VEND-008,2026-06-06,2026-07-06,387876.00,0.18,19394.00,387876.00,387876.00,paid,INR,purchase bill
AP-VB-2026-000219,VB-2026-000219,Meridian Water Treatment & Co,VEND-009,2026-06-08,2026-07-23,100421.00,0.18,5021.00,100421.00,100421.00,paid,INR,purchase bill
AP-VB-2026-000220,VB-2026-000220,Raman Deep Hardware Private Limited,VEND-002,2026-06-08,2026-08-07,451907.00,0.18,81343.00,451907.00,451907.00,paid,INR,purchase bill
AP-RT-2026-000221,RT-2026-000221,Karman Conveyances PVT LTD,VEND-005,2026-06-08,2026-06-23,278632.00,0.18,33436.00,278632.00,278632.00,paid,INR,purchase bill
AP-RT-2026-000222,RT-2026-000222,Nalanda Recyclers Ltd,VEND-007,2026-06-08,2026-06-23,220867.00,0.18,11043.00,220867.00,220867.00,paid,INR,purchase bill
AP-RT-2026-000230,RT-2026-000230,Indusloom Warehousing & Co,VEND-010,2026-06-09,2026-07-24,87499.00,0.18,4375.00,87499.00,87499.00,paid,INR,purchase bill
AP-RT-2026-000231,RT-2026-000231,Raman Deep Hardware Private Limited,VEND-002,2026-06-09,2026-08-08,186455.00,0.18,33562.00,186455.00,181886.00,partial,INR,purchase bill short deduction
AP-VB-2026-000234,VB-2026-000234,Nalanda Recyclers Ltd,VEND-007,2026-06-10,2026-06-25,144526.00,0.18,26015.00,144526.00,144526.00,paid,INR,purchase bill
AP-VB-2026-000235,VB-2026-000235,Meridian Water Treatment & Co,VEND-009,2026-06-10,2026-07-25,111060.00,0.18,5553.00,111060.00,111060.00,paid,INR,purchase bill
AP-VB-2026-000242,VB-2026-000242,Saptagiri Machine Parts & Co,VEND-003,2026-06-11,2026-07-11,454984.00,0.18,81897.00,454984.00,454984.00,paid,INR,purchase bill
AP-RT-2026-000243,RT-2026-000243,Raman Deep Polymers Company,VEND-001,2026-06-11,2026-06-26,255426.00,0.18,45977.00,255426.00,255426.00,paid,INR,purchase bill
AP-RT-2026-000244,RT-2026-000244,Saptagiri Machine Parts & Co,VEND-003,2026-06-11,2026-07-11,445322.00,0.18,22266.00,445322.00,445322.00,paid,INR,purchase bill
AP-RT-2026-000245,RT-2026-000245,Shree Balaji Electricals & Co,VEND-004,2026-06-11,2026-07-27,432097.00,0.18,21605.00,432097.00,432097.00,paid,INR,purchase bill
AP-VB-2026-000246,VB-2026-000246,Vaishnavi Logistics Ltd,VEND-006,2026-06-11,2026-07-11,599167.00,0.18,107850.00,599167.00,570510.00,partial,INR,purchase bill short deduction
AP-RT-2026-000256,RT-2026-000256,Raman Deep Hardware Private Limited,VEND-002,2026-06-12,2026-08-11,773025.00,0.18,38651.00,773025.00,773025.00,paid,INR,purchase bill
AP-RT-2026-000257,RT-2026-000257,Shree Balaji Electricals & Co,VEND-004,2026-06-12,2026-07-27,608656.00,0.18,109558.00,608656.00,608656.00,paid,INR,purchase bill
AP-RT-2026-000258,RT-2026-000258,Vaishnavi Logistics Ltd,VEND-006,2026-06-12,2026-07-13,222043.00,0.18,11102.00,222043.00,222043.00,paid,INR,purchase bill
AP-VB-2026-000262,VB-2026-000262,Indusloom Warehousing & Co,VEND-010,2026-06-13,2026-07-28,47917.00,0.18,2396.00,47917.00,47917.00,paid,INR,purchase bill
AP-RT-2026-000263,RT-2026-000263,Adishakti Solar EPC Company,VEND-008,2026-06-13,2026-07-13,216378.00,0.18,25965.00,216378.00,216378.00,paid,INR,purchase bill
AP-VB-2026-000264,VB-2026-000264,Vaishnavi Logistics Ltd,VEND-006,2026-06-13,2026-07-13,330181.00,0.18,59433.00,330181.00,330181.00,paid,INR,purchase bill
AP-RT-2026-000265,RT-2026-000265,Indusloom Warehousing & Co,VEND-010,2026-06-14,2026-07-29,53477.00,0.18,6417.00,53477.00,53477.00,paid,INR,purchase bill
AP-VB-2026-000266,VB-2026-000266,Adishakti Solar EPC Company,VEND-008,2026-06-14,2026-07-14,433743.00,0.18,78074.00,433743.00,433743.00,paid,INR,purchase bill
AP-RT-2026-000267,RT-2026-000267,Shree Balaji Electricals & Co,VEND-004,2026-06-14,2026-07-29,649640.00,0.18,77957.00,649640.00,649640.00,paid,INR,purchase bill
AP-RT-2026-000272,RT-2026-000272,Vaishnavi Logistics Ltd,VEND-006,2026-06-15,2026-07-15,1774407.00,0.18,319393.00,1774407.00,1774407.00,paid,INR,purchase bill
AP-VB-2026-000273,VB-2026-000273,Adishakti Solar EPC Company,VEND-008,2026-06-15,2026-07-15,392556.00,0.18,47107.00,392556.00,392556.00,paid,INR,purchase bill
AP-VB-2026-000279,VB-2026-000279,Karman Conveyances PVT LTD,VEND-005,2026-06-16,2026-07-01,405615.00,0.18,20281.00,405615.00,405615.00,paid,INR,purchase bill
AP-VB-2026-000280,VB-2026-000280,Saptagiri Machine Parts & Co,VEND-003,2026-06-16,2026-07-16,277668.00,0.18,49980.00,277668.00,277668.00,paid,INR,purchase bill
AP-RT-2026-000281,RT-2026-000281,Raman Deep Hardware Private Limited,VEND-002,2026-06-16,2026-08-17,127769.00,0.18,15332.00,127769.00,127769.00,paid,INR,purchase bill
AP-RT-2026-000282,RT-2026-000282,Nalanda Recyclers Ltd,VEND-007,2026-06-16,2026-07-01,176678.00,0.18,21201.00,176678.00,176678.00,paid,INR,purchase bill
AP-VB-2026-000283,VB-2026-000283,Saptagiri Machine Parts & Co,VEND-003,2026-06-16,2026-07-16,176717.00,0.18,8836.00,176717.00,176717.00,paid,INR,purchase bill
AP-VB-2026-000284,VB-2026-000284,Adishakti Solar EPC Company,VEND-008,2026-06-16,2026-07-16,308207.00,0.18,55477.00,308207.00,308207.00,paid,INR,purchase bill
AP-RT-2026-000290,RT-2026-000290,Nalanda Recyclers Ltd,VEND-007,2026-06-17,2026-07-02,447865.00,0.18,22393.00,447865.00,431028.00,partial,INR,purchase bill short deduction
AP-VB-2026-000291,VB-2026-000291,Shree Balaji Electricals & Co,VEND-004,2026-06-17,2026-08-01,446188.00,0.18,80314.00,446188.00,446188.00,paid,INR,purchase bill
AP-VB-2026-000296,VB-2026-000296,Raman Deep Polymers Company,VEND-001,2026-06-18,2026-07-03,178698.00,0.18,21444.00,178698.00,178698.00,paid,INR,purchase bill
AP-VB-2026-000297,VB-2026-000297,Saptagiri Machine Parts & Co,VEND-003,2026-06-18,2026-07-18,221114.00,0.18,26534.00,221114.00,221114.00,paid,INR,purchase bill
AP-RT-2026-000298,RT-2026-000298,Indusloom Warehousing & Co,VEND-010,2026-06-18,2026-08-03,41890.00,0.18,5027.00,41890.00,41890.00,paid,INR,purchase bill
AP-VB-2026-000299,VB-2026-000299,Karman Conveyances PVT LTD,VEND-005,2026-06-18,2026-07-03,162143.00,0.18,19457.00,162143.00,162143.00,paid,INR,purchase bill
AP-RT-2026-000300,RT-2026-000300,Raman Deep Polymers Company,VEND-001,2026-06-18,2026-07-03,138144.00,0.18,24866.00,138144.00,138144.00,paid,INR,purchase bill
AP-VB-2026-000301,VB-2026-000301,Raman Deep Hardware Private Limited,VEND-002,2026-06-18,2026-08-17,922815.00,0.18,166107.00,922815.00,922815.00,paid,INR,purchase bill
AP-RT-2026-000302,RT-2026-000302,Vaishnavi Logistics Ltd,VEND-006,2026-06-18,2026-07-18,206406.00,0.18,37153.00,206406.00,206406.00,paid,INR,purchase bill
AP-VB-2026-000310,VB-2026-000310,Indusloom Warehousing & Co,VEND-010,2026-06-19,2026-08-03,389225.00,0.18,70060.00,389225.00,389225.00,paid,INR,purchase bill
AP-RT-2026-000311,RT-2026-000311,Raman Deep Polymers Company,VEND-001,2026-06-19,2026-07-04,250324.00,0.18,45058.00,250324.00,250324.00,paid,INR,purchase bill
AP-RT-2026-000312,RT-2026-000312,Karman Conveyances PVT LTD,VEND-005,2026-06-19,2026-07-04,747941.00,0.18,89753.00,747941.00,747941.00,paid,INR,purchase bill
AP-RT-2026-000313,RT-2026-000313,Saptagiri Machine Parts & Co,VEND-003,2026-06-19,2026-07-20,95852.00,0.18,17253.00,95852.00,95852.00,paid,INR,purchase bill
AP-RT-2026-000314,RT-2026-000314,Adishakti Solar EPC Company,VEND-008,2026-06-19,2026-07-20,349740.00,0.18,41969.00,349740.00,349740.00,paid,INR,purchase bill
AP-VB-2026-000315,VB-2026-000315,Adishakti Solar EPC Company,VEND-008,2026-06-19,2026-07-20,334209.00,0.18,40105.00,334209.00,334209.00,paid,INR,purchase bill
AP-RT-2026-000318,RT-2026-000318,Meridian Water Treatment & Co,VEND-009,2026-06-20,2026-08-04,111566.00,0.18,20082.00,111566.00,111566.00,paid,INR,purchase bill
AP-RT-2026-000319,RT-2026-000319,Nalanda Recyclers Ltd,VEND-007,2026-06-20,2026-07-06,190473.00,0.18,34285.00,190473.00,190473.00,paid,INR,purchase bill
AP-VB-2026-000320,VB-2026-000320,Adishakti Solar EPC Company,VEND-008,2026-06-20,2026-07-20,296266.00,0.18,53328.00,296266.00,296266.00,paid,INR,purchase bill
AP-VB-2026-000322,VB-2026-000322,Meridian Water Treatment & Co,VEND-009,2026-06-21,2026-08-05,37529.00,0.18,1876.00,37529.00,37529.00,paid,INR,purchase bill
AP-RT-2026-000325,RT-2026-000325,Raman Deep Hardware Private Limited,VEND-002,2026-06-22,2026-08-21,375391.00,0.18,45047.00,375391.00,375391.00,paid,INR,purchase bill
AP-RT-2026-000326,RT-2026-000326,Raman Deep Polymers Company,VEND-001,2026-06-22,2026-07-07,227627.00,0.18,27315.00,227627.00,227627.00,paid,INR,purchase bill
AP-RT-2026-000327,RT-2026-000327,Saptagiri Machine Parts & Co,VEND-003,2026-06-22,2026-07-22,647520.00,0.18,32376.00,647520.00,647520.00,paid,INR,purchase bill
AP-VB-2026-000334,VB-2026-000334,Nalanda Recyclers Ltd,VEND-007,2026-06-23,2026-07-08,207654.00,0.18,24918.00,207654.00,207654.00,paid,INR,purchase bill
AP-VB-2026-000335,VB-2026-000335,Vaishnavi Logistics Ltd,VEND-006,2026-06-23,2026-07-23,88886.00,0.18,4444.00,88886.00,88886.00,paid,INR,purchase bill
AP-RT-2026-000336,RT-2026-000336,Vaishnavi Logistics Ltd,VEND-006,2026-06-23,2026-07-23,334664.00,0.18,60240.00,334664.00,0.00,overdue,INR,purchase bill
AP-RT-2026-000337,RT-2026-000337,Meridian Water Treatment & Co,VEND-009,2026-06-23,2026-08-07,38548.00,0.18,6939.00,38548.00,38548.00,paid,INR,purchase bill
AP-RT-2026-000338,RT-2026-000338,Saptagiri Machine Parts & Co,VEND-003,2026-06-23,2026-07-23,162692.00,0.18,29285.00,162692.00,0.00,overdue,INR,purchase bill
AP-RT-2026-000345,RT-2026-000345,Vaishnavi Logistics Ltd,VEND-006,2026-06-24,2026-07-24,316746.00,0.18,57014.00,316746.00,316746.00,paid,INR,purchase bill
AP-VB-2026-000346,VB-2026-000346,Karman Conveyances PVT LTD,VEND-005,2026-06-24,2026-07-09,328748.00,0.18,39450.00,328748.00,311776.00,partial,INR,purchase bill short deduction
AP-RT-2026-000347,RT-2026-000347,Vaishnavi Logistics Ltd,VEND-006,2026-06-24,2026-07-24,143452.00,0.18,25821.00,143452.00,143452.00,paid,INR,purchase bill
AP-VB-2026-000348,VB-2026-000348,Raman Deep Hardware Private Limited,VEND-002,2026-06-24,2026-08-24,385961.00,0.18,69473.00,385961.00,385961.00,paid,INR,purchase bill
