advice_id,invoice_no,payer_name,amount,notified_on,utr,narration_hint
ADV-000070,,SAPTAGIRI WATER TREATMENT & CO,1764730.00,2026-07-12,900000019203,
ADV-000071,INV-2026-000317,SAPTAGIRI WATER TREATMENT LLP,2167751.00,2026-07-12,,
ADV-000072,INV-2026-000325,TRIVIDATA WAREHOUSING LTD,242912.00,2026-07-13,900000019779,
ADV-000073,INV-2026-000335,ZENITH ONE ELECTRICALS JAI,401091.00,2026-06-26,,
ADV-000074,,INDUSLOOM ROOFING PRODUCTS PVT LTD,538281.00,2026-07-26,,
ADV-000075,INV-2026-000337,EVERLOG LOGISTICS,128543.00,2026-07-20,900000020212,
ADV-000076,,ZENITH ONE ELECTRICALS & CO,276442.00,2026-07-13,,
ADV-000077,INV-2026-000346,EVERSTONE LOGISTI,241032.00,2026-07-26,,
ADV-000078,INV-2026-000347,RAMAN DEEP CONVEYANCES,542720.00,2026-07-27,,
ADV-000079,,HIRANYAKA HARDWARE PUN,346214.00,2026-07-25,900000020827,
ADV-000080,INV-2026-000349,ZENITH ONE ELECTRICALS & CO,344952.00,2026-07-22,,
ADV-000081,INV-2026-000357,KARMAN PRINT SOLUTIONS COI,242566.00,2026-08-15,,
ADV-000082,INV-2026-000360,SAPTAGIRI WATER TREATMENT LTD,3498241.00,2026-07-18,,
ADV-000083,INV-2026-000376,KARFAN PRINT SOLUTIONS COI,275606.00,2026-08-11,900000021880,
ADV-000084,,LOHIYA POLY,300226.00,2026-08-14,900000021888,
ADV-000085,,ZENITH ONE ELECTRICALS & CO,360519.00,2026-07-05,,
ADV-000086,INV-2026-000379,VAISHNAVI ,2636351.00,2026-07-26,900000021972,
ADV-000087,INV-2026-000382,KARMAN PRI,816850.00,2026-08-09,900000022139,
ADV-000088,INV-2026-000400,ZENITH ONE ELECTRICALS & CO,354864.00,2026-07-09,,
ADV-000089,INV-2026-000413,RAMAN DEEP ,5642663.00,2026-07-11,,
ADV-000090,INV-2026-000419,TRIVIDATA WAREHOUSING LTD,138169.00,2026-07-21,,
ADV-000091,INV-2026-000421,EVERSTONE LOGISTICS LTD,426984.00,2026-07-27,,
ADV-000092,INV-2026-000423,ZENITH ONE ELECTRICALS JAI,572876.00,2026-07-24,900000023777,
ADV-000093,INV-2026-000429,ZENITH ONE ELECTRICALS JAI,278579.00,2026-07-24,,
ADV-000094,INV-2026-000433,ZENITH ONE ELECTRICALS LLP,141475.00,2026-07-22,900000024161,
ADV-000095,INV-2026-000437,SAPTAGIRI WATER TREATMENT LLP,6000000.00,2026-07-25,,
ADV-000096,INV-2026-000439,RAMAN DEEP CONVEYANCES PRIVATE LIMITED,2598813.00,2026-07-20,900000024443,
ADV-000097,,TRIVIDATA WAREHOUSING LTD,187374.00,2026-07-19,,
ADV-000098,,TANSH MACHBNE PARTS LTD,127665.00,2026-08-05,,
ADV-000099,,SHREE BALAJI RECYCLERS COMPANY,140842.00,2026-07-26,900000025171,
ADV-000100,INV-2026-000455,TRIVIDATA WAREHOUSING LTD,164110.00,2026-07-24,,
ADV-000101,INV-2026-000457,INDUSLOOM ROOFING PRODUCTS LLP,619995.00,2026-08-03,,
ADV-000102,INV-2026-000468,VAISHNAVI TEXTILES LLP,917553.00,2026-07-28,,
ADV-000103,,VAISHNAVI T,1228788.00,2026-07-28,,
ADV-000104,INV-2026-000494,ANANT INFRA CATERING SERVICES RAJ,200116.00,2026-08-29,,
ADV-000105,,INDUSLOOM ROOFING PRODUCTS PRIVATE LIMITED,441188.00,2026-08-13,,
ADV-000106,INV-2026-000501,SAPTAGIRI WATER TREATMENT LLP,218341.00,2026-08-06,900000027149,
ADV-000107,INV-2026-000502,ZENITH ONE ELECTRICALS JAI,498061.00,2026-07-24,900000027150,
ADV-000108,,ZENITH ONE ELECTRICALS & CO,727466.00,2026-07-28,900000027417,
ADV-000109,INV-2026-000513,HIRANYAKA HARDWARE PVT LTD,61542.00,2026-08-03,,
ADV-000110,,TRIVIDATA WAREHO ,196905.00,2026-08-03,900000027850,
ADV-000111,INV-2026-000530,SAPTAGIRI WATER TREATMEN,1055780.00,2026-08-16,900000027983,
ADV-000112,INV-2026-000531,INDUSLOOM XOOFING ,253283.00,2026-08-11,900000028032,
ADV-000113,,SHREE BALAJ,105641.00,2026-08-09,900000028125,
ADV-000114,INV-2026-000534,SHREE BALAJI RECYCLERS COMPANY,61278.00,2026-07-22,900000028211,
ADV-000115,,SAPTAGIRI WATER TREATMENT RAJ,1195070.00,2026-08-10,900000028725,
ADV-000116,,SHREE BALA,135384.00,2026-08-01,,
ADV-000117,INV-2026-000565,TRIVIDATA WAREHOUSING HUB,235675.00,2026-08-10,900000029106,
ADV-000118,INV-2026-000576,SAPTAGIRI WATER TREATMENT LLP,513227.00,2026-08-13,,
ADV-000119,INV-2026-000603,TANSH MACHINE PARTS LTD,558807.00,2026-08-24,900000030240,
ADV-000120,INV-2026-000605,RAMAN DEEP CONVEYANCES PRIVATE TIMITED,211625.00,2026-08-30,900000030305,
ADV-000121,INV-2026-000619,EVERSTONE LOGISTICS C,215261.00,2026-08-23,,
ADV-000122,INV-2026-000625,SAPTAGIRI WATKR TREAT,214268.00,2026-08-27,900000031084,
ADV-000123,INV-2026-000638,SHREE BALAJI RECYCLERS PVT LTD,126208.00,2026-08-15,900000031381,
ADV-000124,INV-2026-000658,VAISHNAVI TEXTILES JAI,1117456.00,2026-08-27,900000031662,
ADV-000125,INV-2026-000660,ZENITH ONE ELECTRICALS PRIVATE LIMITED,1366876.00,2026-08-28,900000031717,
ADV-000126,INV-2026-000662,SHREE BALAJI RECYCLER,75333.00,2026-08-19,900000031802,
ADV-000127,INV-2026-000669,SAPTAGIRI WATER TREATMENT LLP,4669550.00,2026-08-31,900000032103,
ADV-000128,INV-2026-000670,VAISHNAVI TE,644786.00,2026-08-29,900000032105,
ADV-000129,,ZENITH ONE ELECTRICALS & CO,557736.00,2026-08-18,900000032170,
ADV-000130,INV-2026-000672,ZENITH ONE,629225.00,2026-08-20,900000032263,
ADV-000131,INV-2026-000678,VAISTEX TEXTILES,646028.00,2026-08-30,900000032375,
ADV-000132,INV-2026-000696,ZENITH ONE ELECTRICALS & CO,193525.00,2026-08-28,900000032542,
ADV-000133,INV-2026-000697,VAISHNAVI TEXTILES LLP,553105.00,2026-08-29,900000032580,
ADV-000134,INV-2026-000702,SHREE BALAJI RECYCLERS COMPANY,186970.00,2026-08-31,,
ADV-000135,INV-2026-000714,TRIVWAR WAREHO,93951.00,2026-08-22,,
ADV-000136,INV-2026-000725,TRIVIDATA WAREHOUSI,322315.00,2026-09-01,900000032946,
ADV-000137,INV-2026-000757,ZENITHUONE E,292134.00,2026-08-23,,
ADV-000138,INV-2026-000763,ZENITH ONE ELECTRICALS & CO,385129.00,2026-08-30,900000033332,
ADV-000139,,ANANT INFRA CATERING SERVICES PRIVATE LIMITED,145196.00,2026-07-12,900000034071,
ADV-000140,INV-2026-000065,LOHIYA POLYMERS PRIVATE LIMITED,231972.00,2026-07-24,900000034132,
ADV-000141,INV-2026-000155,TRIVIDATA WAREHOUSING & CO,33878.00,2026-06-24,,
ADV-000142,INV-2026-000190,TRIVIDATA WAREHOUSING PRIVATE LIMITED,305194.00,2026-06-22,900000034170,
ADV-000143,,INDUSLOIM ROO,385974.00,2026-07-02,900000034198,
ADV-000144,,VAISHNAVI TEXTIL,455760.00,2026-07-12,900000034259,
ADV-000145,INV-2026-000209,SHREE BALAJI RECYCLERS,384703.00,2026-06-20,900000034340,
ADV-000146,,SHREE BALAJI RECYCLERS LLP,155539.00,2026-06-22,900000034340,
ADV-000147,INV-2026-000327,TANSH MACHI,410311.00,2026-08-01,900000034418,
ADV-000148,INV-2026-000465,HIRAWYAKA HARDWARE PVT LTD,502000.00,2026-08-08,,
ADV-000149,INV-2026-000467,HIRAHAR HAR,293700.00,2026-08-10,900000034540,
ADV-000150,INV-2026-000504,HIRANYAKA HARD,961959.00,2026-08-09,900000034540,
ADV-000151,INV-2026-000532,TANSH MACHI,380220.00,2026-08-17,900000034686,
ADV-000152,INV-2026-000547,TANSH MACHTNE PARTS LTD,345077.00,2026-08-17,,
ADV-000153,INV-2026-000522,HIRANYAKA HARDWARE PVT LTD,827244.00,2026-08-10,900000034768,
