settlement_id,settled_on,payout_utr,batch_type,txn_count,gross_amount,commission_amount,tmn_amount,gst_amount,tds_amount,net_amount,scheduled_id
setl_00000063,2026-07-14,900000003089,regular,6,22400.00,448.00,0.22,80.67,8.96,21862.15,stl_sch_000063
setl_00000064,2026-07-15,900000003113,regular,46,128324.00,2475.22,1.28,445.77,49.50,125352.23,stl_sch_000064
setl_00000065,2026-07-16,900000003178,regular,41,121824.00,2119.22,1.21,381.67,42.38,112198.43,stl_sch_000065
setl_00000066,2026-07-17,900000003269,regular,37,114436.00,2028.36,1.14,365.31,40.56,111302.19,stl_sch_000066
setl_00000067,2026-07-18,900000003341,regular,48,136865.00,2454.48,1.36,442.05,49.08,133918.03,stl_sch_000067
setl_00000068,2026-07-20,900000003386,regular,49,132875.00,2528.31,1.32,455.33,50.56,128105.67,stl_sch_000068
setl_00000069,2026-07-20,900000003417,regular,6,19272.00,374.31,0.19,67.41,7.48,18822.61,stl_sch_000069
setl_00000070,2026-07-21,900000003495,regular,17,46944.00,838.00,0.46,150.92,16.76,43113.00,stl_sch_000070
setl_00000071,2026-07-22,900000003531,regular,41,133577.00,2609.50,1.33,469.94,52.19,126947.81,stl_sch_000071
setl_00000072,2026-07-23,900000003600,regular,22,63756.00,1180.03,0.63,212.51,23.60,62339.23,stl_sch_000072
setl_00000073,2026-07-24,900000003651,regular,21,60561.00,1117.40,0.60,201.24,22.34,59219.42,stl_sch_000073
setl_00000074,2026-07-25,900000003717,regular,36,89974.00,1647.68,0.89,296.74,32.95,86903.52,stl_sch_000074
setl_00000075,2026-07-27,900000003751,regular,66,183366.00,3304.13,1.83,595.07,66.08,175105.34,stl_sch_000075
setl_00000076,2026-07-27,900000003811,regular,11,32830.00,600.82,0.32,108.20,12.01,31993.41,stl_sch_000076
setl_00000077,2026-07-28,900000003844,regular,3,12814.00,256.28,0.12,46.15,5.12,12506.33,stl_sch_000077
setl_00000078,2026-07-29,900000003905,regular,55,150800.00,2799.83,1.50,504.23,55.99,145435.83,stl_sch_000078
setl_00000079,2026-07-30,900000003999,regular,43,119132.00,2233.26,1.19,402.20,44.66,114226.98,stl_sch_000079
setl_00000080,2026-07-31,900000004081,regular,41,114541.00,2038.49,1.14,367.13,40.76,108046.84,stl_sch_000080
setl_00000081,2026-08-01,900000004102,regular,35,93078.00,1706.41,0.93,307.32,34.12,88943.66,stl_sch_000081
setl_00000082,2026-08-03,900000004178,regular,38,101507.00,1836.34,1.01,330.72,36.72,94981.25,stl_sch_000082
setl_00000083,2026-08-03,900000004221,regular,27,72763.00,1319.86,0.72,237.70,26.39,71178.33,stl_sch_000083
setl_00000084,2026-08-05,900000004309,regular,51,153140.00,2832.56,1.53,510.13,56.65,149739.13,stl_sch_000084
setl_00000085,2026-08-06,900000004312,regular,42,121941.00,2270.05,1.21,408.82,45.40,117097.41,stl_sch_000085
setl_00000086,2026-08-07,900000004374,regular,53,143375.00,2691.74,1.43,484.77,53.83,139348.65,stl_sch_000086
setl_00000087,2026-08-08,900000004459,regular,47,145195.00,2582.25,1.45,465.06,51.64,139635.35,stl_sch_000087
setl_00000088,2026-08-10,900000004553,regular,41,118648.00,2221.07,1.18,400.00,44.42,113232.25,stl_sch_000088
setl_00000089,2026-08-10,900000004602,regular,9,27061.00,509.51,0.27,91.76,10.19,26449.27,stl_sch_000089
setl_00000090,2026-08-12,900000004630,regular,33,91891.00,1808.12,0.91,325.62,36.16,87878.37,stl_sch_000090
setl_00000091,2026-08-13,900000004697,regular,42,129044.00,2350.90,1.29,423.39,47.01,120800.89,stl_sch_000091
setl_00000092,2026-08-14,900000004744,regular,17,44640.00,822.16,0.44,148.06,16.44,43652.90,stl_sch_000092
setl_00000093,2026-08-17,900000004802,regular,47,144073.00,2526.78,1.44,455.07,50.53,135081.81,stl_sch_000093
setl_00000094,2026-08-17,900000004845,regular,60,176055.00,3298.23,1.76,593.99,65.96,171558.95,stl_sch_000094
setl_00000095,2026-08-17,900000004858,regular,20,60006.00,1099.92,0.60,198.09,21.99,57022.53,stl_sch_000095
setl_00000096,2026-08-19,900000004927,regular,40,106797.00,2016.29,1.06,363.12,40.32,104376.21,stl_sch_000096
setl_00000097,2026-08-20,900000004980,regular,27,78302.00,1441.75,0.78,259.65,28.83,68106.44,stl_sch_000097
setl_00000098,2026-08-21,900000005070,regular,47,144651.00,2699.40,1.44,486.15,53.98,132198.56,stl_sch_000098
setl_00000099,2026-08-22,900000005086,regular,32,86310.00,1556.05,0.86,280.24,31.12,84188.11,stl_sch_000099
setl_00000100,2026-08-24,900000005099,regular,47,140654.00,2608.26,1.40,469.73,52.16,137522.45,stl_sch_000100
setl_00000101,2026-08-25,900000005115,regular,5,18945.00,319.79,0.18,57.59,6.39,18561.05,stl_sch_000101
setl_00000102,2026-08-26,900000005127,regular,35,87244.00,1634.80,0.87,294.42,32.69,84413.00,stl_sch_000102
setl_00000103,2026-08-27,900000005188,regular,42,128222.00,2390.78,1.28,430.57,47.81,120476.55,stl_sch_000103
setl_00000104,2026-08-28,900000005210,regular,22,64117.00,1176.14,0.64,211.82,23.52,62704.88,stl_sch_000104
setl_00000105,2026-08-29,900000005233,regular,37,105345.00,2060.74,1.05,371.12,41.21,101695.88,stl_sch_000105
setl_00000106,2026-08-31,900000005313,regular,49,143451.00,2869.02,1.43,516.68,57.38,140006.49,stl_sch_000106
setl_00000107,2026-08-31,900000005321,regular,29,67529.00,1179.45,0.67,212.42,23.58,65674.63,stl_sch_000107
setl_00000108,2026-09-02,900000005390,regular,56,168457.00,3122.83,1.68,562.41,62.45,161440.08,stl_sch_000108
setl_00000109,2026-09-03,900000005441,regular,55,144108.00,2568.75,1.44,462.63,51.37,141023.81,stl_sch_000109
setl_00000110,2026-09-04,900000005455,regular,29,72123.00,1353.03,0.72,243.67,27.06,70276.82,stl_sch_000110
setl_00000111,2026-09-05,900000005511,regular,47,137583.00,2501.18,1.37,450.45,50.02,133705.48,stl_sch_000111
setl_00000112,2026-09-07,900000005532,regular,65,197706.00,3665.69,1.97,660.17,73.31,187907.08,stl_sch_000112
setl_00000113,2026-09-07,900000005567,regular,8,24689.00,451.44,0.24,81.30,9.02,21639.14,stl_sch_000113
