advice_id,invoice_no,payer_name,amount,notified_on,utr,narration_hint
ADV-000066,,SHREE BALAJI HARDWARE PRIVATE LIMITED,203677.00,2026-05-05,,
ADV-000067,INV-2026-000310,GOLDCREST STEEL TR,867339.00,2026-04-17,900000022445,
ADV-000068,INV-2026-000314,ASHWINI SOLAR EPC PVT LTD,301201.00,2026-06-08,900000022587,
ADV-000069,INV-2026-000324,ORBITEX PA,835655.00,2026-04-09,,
ADV-000070,,SURYAVANSH PETRO CH,232063.00,2026-05-05,900000023123,
ADV-000071,INV-2026-000337,PUSHPA META,599649.00,2026-04-15,900000023536,
ADV-000072,INV-2026-000342,TRINETRA PIPING SOLUTIONS LLP,150958.00,2026-05-24,900000023728,
ADV-000073,INV-2026-000343,COPPELE ELECTRICALS ,486802.00,2026-05-09,900000023805,
ADV-000074,INV-2026-000362,SAHYADRI POLYMERS ,509037.00,2026-06-01,900000024738,
ADV-000075,INV-2026-000364,VEDIKA FACILITY MANAGEMENT & CO,701293.00,2026-05-15,,
ADV-000076,INV-2026-000365,ASHWINI CABLE SYSTEMS LLP,144541.00,2026-05-06,900000024855,
ADV-000077,INV-2026-000366,TRINETRA PIPING SO,375803.00,2026-05-15,,
ADV-000078,INV-2026-000368,ORBIPAP MILLS,445791.00,2026-04-12,,
ADV-000079,INV-2026-000369,COPPERLEAF ELECTRICALS PVT LTD,934624.00,2026-05-16,900000025112,
ADV-000080,INV-2026-000377,GOLDCREST SECURITY SYSTEMS & CO,1035455.00,2026-06-04,900000025522,
ADV-000081,INV-2026-000379,ZENITH ONE LOGISTICS,3620347.00,2026-05-21,900000025581,
ADV-000082,,SURYPET CHEM ,1321291.00,2026-05-12,,
ADV-000083,INV-2026-000382,ANANT INFRA STAFFING PRIVATE LIMITED,407910.00,2026-05-25,,
ADV-000084,,NALANDA FAB SERVICES PRIVATE LIMITED,278417.00,2026-05-29,,
ADV-000085,,ASHWINI CABLE SYSTEMS LLP,371801.00,2026-05-06,900000025919,
ADV-000086,INV-2026-000393,EVERWAT TR,251750.00,2026-06-17,,
ADV-000087,INV-2026-000395,SAPTAGIRI ANALYTICS LTD,403492.00,2026-04-18,900000026165,
ADV-000088,,MERIDIAN LAB,309379.00,2026-04-16,,
ADV-000089,INV-2026-000397,ZENITH ONE LOGISTICS LTD,91899.00,2026-05-18,,
ADV-000090,INV-2026-000405,TRIVIDATA ROOFING ,257308.00,2026-05-09,900000026529,
ADV-000091,INV-2026-000408,NALANDA FAB SERVICES PRIVATE LIMITED,186327.00,2026-06-12,900000026648,
ADV-000092,,ASHWINI SOLAR EPC PRIVATE LIMITED,1584672.00,2026-05-28,,
ADV-000093,INV-2026-000410,SHREE BALAJI M,243536.00,2026-06-22,,
ADV-000094,INV-2026-000411,ASHWINI SOLAR EPC PVT LTD,791955.00,2026-06-05,900000026855,
ADV-000095,INV-2026-000412,ASHWINI COLD CHAIN NOI,257662.00,2026-05-13,900000026901,
ADV-000096,INV-2026-000424,NALANDA RECYCLERS GUW,559601.00,2026-05-04,,
ADV-000097,INV-2026-000425,VEDIKA FACILITY MANAGEMENT & CO,452564.00,2026-05-19,900000027454,
ADV-000098,INV-2026-000426,EVERSTONE WATER TREATMENT COMPANY,252561.00,2026-06-13,900000027519,
ADV-000099,,ASHWINI INTERIORS & CO,298528.00,2026-05-10,900000028458,
ADV-000100,INV-2026-000446,ORBITEX DAI,609584.00,2026-04-30,900000028640,
ADV-000101,,ORBITEX PACKAGING PRIVA,591630.00,2026-06-06,900000028817,
ADV-000102,,ANANT INFRA STAFFING PRIVAT,805047.00,2026-06-07,900000029003,
ADV-000103,INV-2026-000459,ORBITEX PACKAGING PVT LTD,2045471.00,2026-06-01,900000029255,
ADV-000104,INV-2026-000460,SURYAVANSH PETRO CHEMICALS & CO,1775312.00,2026-05-24,900000029301,
ADV-000105,INV-2026-000462,GOLDCREST SECURITY SYSTEMS COMPANY,280009.00,2026-06-16,,
ADV-000106,INV-2026-000463,ANANT INFRA STAFFING HUB,1744766.00,2026-06-22,,
ADV-000107,INV-2026-000464,ANANT INFRA CONVEYANCES PVT LTD,150555.00,2026-05-14,,
ADV-000108,,SURYAVANSH PETRO CHEMICALS & CO,1234957.00,2026-05-24,900000029538,
ADV-000109,,ANANT INFRA ,212082.00,2026-05-19,,
ADV-000110,,ORBITEX PACKACING PRIVATE L,2016452.00,2026-06-02,900000030197,
ADV-000111,,VEDIKA TEXTILES KOC,193717.00,2026-05-04,900000030294,
ADV-000112,,ANANT INFRA STAFFING PRIVATE LIMITED,501544.00,2026-06-08,,
ADV-000113,INV-2026-000495,SURYAVANSH PETRO CHEMICALS & CO,6000000.00,2026-05-29,900000030855,
ADV-000114,,ANANT INFR ,413742.00,2026-05-25,,
ADV-000115,INV-2026-000536,ANANT INFRA CONVEYANCES,339551.00,2026-06-01,900000032672,
ADV-000116,,ASHWINI COLD CHAIN LTD,991909.00,2026-05-30,900000032795,
ADV-000117,INV-2026-000547,VEDIKA TEXTILES KOC,818192.00,2026-05-11,,
ADV-000118,INV-2026-000550,NALANDA RE,117949.00,2026-05-07,900000033271,
ADV-000119,INV-2026-000557,SURYAVANSH PRINT SOLUTIONS & CO,134830.00,2026-05-26,900000033633,
ADV-000120,,SURYAVANSH CATERING SERV,194257.00,2026-05-24,900000033686,
ADV-000121,,SAHYADRI POLYMEUS LTD,4091866.00,2026-06-09,,
ADV-000122,,ASHWINI INTERIORS,243522.00,2026-05-14,900000034468,
ADV-000123,INV-2026-000579,GOLDCREST STEEL TRADERS LTD,1722778.00,2026-05-15,900000034791,
ADV-000124,,SHREE BALAJI HARDWARE PRIVATE LIMITED,232627.00,2026-06-05,,
ADV-000125,,TRIVIDATA ROOFING PRODUCTS PVT LTD,489673.00,2026-05-27,,
ADV-000126,INV-2026-000593,SURYPRW SO,53704.00,2026-05-29,900000035433,
ADV-000127,INV-2026-000595,VEDIKA FACILITY MANAG,603177.00,2026-06-22,,
ADV-000128,INV-2026-000596,SAPTAGIRI AN,137942.00,2026-05-06,,
ADV-000129,INV-2026-000598,ASHWINI INTERIORS & CO,272035.00,2026-05-16,900000035699,
ADV-000130,INV-2026-000599,ASHWINI CABLE SYSTEMS PRIVATE LIMITED,163167.00,2026-05-22,,
ADV-000131,INV-2026-000605,SURYAVANSH PRINT SOLUTIONS & CO,803812.00,2026-05-24,900000036158,
ADV-000132,INV-2026-000609,ASHWINI INTERIORS & CO,752366.00,2026-05-26,900000036252,
ADV-000133,INV-2026-000610,VEDIKA TEXTILES COMPANY,445613.00,2026-05-14,900000036268,
ADV-000134,,MERIDIAN LAB SUPPLIES LLP,907734.00,2026-05-18,,
ADV-000135,INV-2026-000613,TRINETRA PIPING S,160679.00,2026-06-27,900000036394,
ADV-000136,INV-2026-000626,ASHWINI CABLE S,313633.00,2026-06-06,900000036911,
ADV-000137,INV-2026-000631,SAPTAGIRI ANALYTICS LTD,418567.00,2026-05-11,,
ADV-000138,INV-2026-000639,TRINPIP SOLUTIONS ,105968.00,2026-06-27,900000037350,
ADV-000139,INV-2026-000642,VEDIKA FACILITY MA,694394.00,2026-06-04,900000037537,
ADV-000140,INV-2026-000643,ANANT INFRA ,1749554.00,2026-06-15,900000037574,
ADV-000141,INV-2026-000648,VEDIKA FACILETY MANAGEMENT & CO,1129321.00,2026-06-17,,
ADV-000142,INV-2026-000663,GOLDCREST STEEL TRADERS COMPANY,182014.00,2026-05-22,,
ADV-000143,INV-2026-000664,GOLDCREST STEEL TRADERS JAI,528039.00,2026-05-21,900000038326,
ADV-000144,,TRINETRA PIPING SOLUTIONS LLP,292484.00,2026-06-29,900000038334,
ADV-000145,INV-2026-000677,ASHWINI SOLAR EPC PVT LTD,672093.00,2026-07-03,900000038838,
ADV-000146,INV-2026-000679,VEDIFA TEXTILES,237184.00,2026-05-26,900000038928,
ADV-000147,INV-2026-000689,NALANDA FAB,864253.00,2026-07-08,900000039415,
ADV-000148,INV-2026-000690,GOLDCREST SECURITY SYSIEMS & CO,992374.00,2026-07-04,900000039422,
ADV-000149,,GOLDCREST SECURITY SZSTEMS & CO,382444.00,2026-07-02,900000039568,
ADV-000150,INV-2026-000703,TRINETRA PIPING SOLUTIONS LLP,305938.00,2026-06-23,,
ADV-000151,,ANANT INFRA CONVEYANCES JAI,226327.00,2026-06-01,,
ADV-000152,,ORBITEX DAIRY FOODS PVT LTD,447588.00,2026-05-25,,
ADV-000153,,SAPTAGIRI ANALYT,319622.00,2026-05-20,900000040341,
ADV-000154,INV-2026-000717,SHREE BALAJI HARDWARE PRIVATE LIMITED,324642.00,2026-06-21,900000040439,
ADV-000155,,PUSHPA METALS AGRI INPUTS PVT LTD,136454.00,2026-05-25,,
ADV-000156,,TRIVIDATA ROOFING ,775130.00,2026-06-10,900000041015,
ADV-000157,INV-2026-000744,COPPERLEAF ELECTRICALS PVT LTD,431943.00,2026-06-21,,
ADV-000158,INV-2026-000745,SURYAVANSH PRINT SOLUTIONS & CO,297704.00,2026-06-09,900000041449,
ADV-000159,INV-2026-000746,ZENITH ONE LOGISTICS & CO,162041.00,2026-06-17,900000041461,
ADV-000160,INV-2026-000748,NALANDA RECYCLERS LLP,670320.00,2026-06-01,900000041466,
ADV-000161,,SHREE BALAJI MACHINE PARTS & CO,348304.00,2026-07-29,900000041632,
ADV-000162,INV-2026-000754,GOLDCREST SECURITY SYSTEMS & CO,1492157.00,2026-07-13,900000041663,
ADV-000163,INV-2026-000761,SHREX BALAJI HA,3291035.00,2026-06-30,,
ADV-000164,INV-2026-000766,TRINPIP SOLUTIONS,96089.00,2026-06-22,,
ADV-000165,,SHREMAC PARTS,271307.00,2026-07-28,900000042606,
ADV-000166,INV-2026-000781,TRINETRA PIPING SOLU,124705.00,2026-07-01,900000042904,
ADV-000167,INV-2026-000783,GOLDCREST WAREHOUSING PRIVATE LIMITED,158017.00,2026-05-16,900000043030,
ADV-000168,INV-2026-000806,ORBITEX PACKAGING PRIVATE LIMITED,491215.00,2026-06-23,900000044045,
ADV-000169,INV-2026-000807,SURYPET CHEMICALS,387906.00,2026-06-25,900000044055,
ADV-000170,,GOLDCREST SECURITY SYSTEMS RAJ,551633.00,2026-07-13,900000044302,
ADV-000171,INV-2026-000822,ANANT INFRA CONVEYANCES PVI LTD,176900.00,2026-06-08,900000044610,
ADV-000172,INV-2026-000825,ORBITEX PACKMGING LLP,2382858.00,2026-07-07,,
ADV-000173,INV-2026-000842,SHREE BALAJI MACHINE PARTS NOI,131077.00,2026-07-28,900000045303,
ADV-000174,INV-2026-000865,ORBITEX PACKAGING PRIVETE LIMITED,246817.00,2026-07-14,900000046170,
ADV-000175,,ORBITEX PACKAGING PRIVATE LIMITED,518457.00,2026-07-06,900000046175,
ADV-000176,,NALANDA FAB SERVICES PRIVATE LIMITED,161692.00,2026-07-14,900000046183,
ADV-000177,,VEDIKA TEXTILES KOC,540975.00,2026-06-11,,
ADV-000178,,NALANDA FAB SERVICES PRIVATE LIMITED,73821.00,2026-07-21,,
ADV-000179,INV-2026-000878,GOLDCREST WA,29237.00,2026-06-01,900000046725,
ADV-000180,INV-2026-000898,GOLDCREST STEEL ,816812.00,2026-06-22,900000047737,
ADV-000181,INV-2026-000899,EVERSTONE WATER TREATMENT JAI,319151.00,2026-08-04,900000047768,
ADV-000182,INV-2026-000900,TRIVIDATA ROOFING PRODUCTS COMPANY,698432.00,2026-06-24,900000047836,
ADV-000183,,SURYAVANSH PETRO CHEMICALS & CO,892424.00,2026-06-30,,
ADV-000184,,TRZVIDATA ROOFING PRODUCTS & CO,914727.00,2026-07-06,900000048399,
ADV-000185,INV-2026-000921,ASHWINI SOLAR EPC PVT LTD,936156.00,2026-07-15,900000049002,
ADV-000186,INV-2026-000923,ANANT INFRA CONVEYANCES JAI,157384.00,2026-07-12,900000049063,
ADV-000187,INV-2026-000924,SURYAVANSH PRINT SOLWTIONS PVT LTD,432177.00,2026-07-03,900000049114,
ADV-000188,,TRIVIDATA R,1404378.00,2026-06-30,900000049119,
ADV-000189,INV-2026-000928,ASHWINI COLD CH,941344.00,2026-07-04,900000049217,
ADV-000190,,VEDIKA TEXTILES & CO,524516.00,2026-06-22,900000049410,
ADV-000191,,SAHYAJRI POLYMERS & CO,600328.00,2026-07-11,,
ADV-000192,,ASHWINI SOLAR EPC PVT LTD,805959.00,2026-07-27,900000049597,
ADV-000193,INV-2026-000939,ORBITEX DAIRY FOOVS LLP,411842.00,2026-06-14,900000049681,
ADV-000194,INV-2026-000942,TRIVIDATA ROOFING PRODUCTS PVT LTD,315539.00,2026-07-03,,
ADV-000195,,ASHWINI INTERIORS,151461.00,2026-07-03,,
ADV-000196,,GOLDCREST SECURITY SYSTEMS & CO,370497.00,2026-08-02,900000050068,
ADV-000197,,SHREE BALAJI MACHINE PARTS PVT LTD,248627.00,2026-08-17,900000050513,
ADV-000198,INV-2026-000956,SHREE BALAJI MACHINE PARTS PVT LTD,251085.00,2026-08-10,,
ADV-000199,,NALAFAB SERVICES,131654.00,2026-08-11,900000050783,
ADV-000200,INV-2026-000958,COPPELE ELECTRICALS,560953.00,2026-07-11,900000050847,
ADV-000201,INV-2026-000959,NALANDA FAB SERVICES PUN,115379.00,2026-07-24,900000050932,
ADV-000202,INV-2026-000968,ORBITEX DAIRY FOODS PVT LTD,288719.00,2026-06-08,900000051386,
ADV-000203,,EVERSTONE WATER TREATMENT LTD,481247.00,2026-08-07,900000051432,
ADV-000204,INV-2026-000984,ASHWINI SOLAR EPC PVT LTD,908708.00,2026-08-04,,
ADV-000205,INV-2026-000986,SAHYADRI POLYMER,3230160.00,2026-07-21,900000051985,
ADV-000206,,ORBITEX PACKAGING PRIVATE LIMITED,1608416.00,2026-08-01,900000052121,
ADV-000207,INV-2026-000989,SHREE BALAJI HARDWARE PRIVATE LIMITED,1290022.00,2026-07-24,,
ADV-000208,INV-2026-001001,ANANT INFRA,903173.00,2026-07-28,,
ADV-000209,INV-2026-001002,ASHWINI COLD CHAI,342913.00,2026-07-09,,
ADV-000210,,NALANDA FAB SERVICES PRIVATE LIMITED,999576.00,2026-07-27,,
ADV-000211,INV-2026-001012,VEDIFAC MANAGEMENT,265316.00,2026-07-13,900000053160,
ADV-000212,INV-2026-001015,SAHYADRI POLYMERS LTD,537518.00,2026-07-31,900000053310,
ADV-000213,INV-2026-001020,SAPTAGIRI ,523685.00,2026-06-18,,
ADV-000214,INV-2026-001021,GOLDSTE TRADERS ,1495531.00,2026-06-23,,
ADV-000215,,SHREE BALAJI HARDWAR,2331570.00,2026-07-22,900000053696,
ADV-000216,,TRINETRA PIPING SOLUTIONS COMPANY,283494.00,2026-07-27,900000054084,
ADV-000217,INV-2026-001036,GOLDSEC SY,807131.00,2026-08-05,900000054150,
ADV-000218,,EVERSTONE WATER TREATMENT COMPANY,68936.00,2026-08-09,900000054154,
ADV-000219,,TRIVIDATA ROOFING PRO,455245.00,2026-06-30,900000054243,
ADV-000220,INV-2026-001039,GOLDCREST SECURITY SYS,658596.00,2026-08-06,,
ADV-000221,INV-2026-001048,ORBITEX PAC,1289831.00,2026-07-31,900000054752,
ADV-000222,INV-2026-001052,NALANDA RECYCLERS LLP,438529.00,2026-06-21,,
ADV-000223,INV-2026-001073,GOLDCREST STEEL,213140.00,2026-06-29,,
ADV-000224,,ANANT INFRA STAFF,408350.00,2026-07-30,900000055622,
ADV-000225,INV-2026-001079,ASHWINI COLD CHAIN COMPANY,764589.00,2026-07-20,900000055802,
ADV-000226,INV-2026-001096,VEDIKA TEXTILES LLP,423059.00,2026-06-30,900000056619,
ADV-000227,INV-2026-001097,ASHWINI CABLE SY,173285.00,2026-07-18,,
ADV-000228,,SAPTAGIRI ,512834.00,2026-06-21,900000056748,
ADV-000229,INV-2026-001103,GOLDCREST SECURITY SYSTEMS & CO,275781.00,2026-08-17,,
ADV-000230,INV-2026-001106,GOLDCREST WAREHOUSING PRIVATE LIMITED,153846.00,2026-06-18,900000057129,
ADV-000231,INV-2026-001108,TRIVIDATA ROOFING PRODUCTS PVT LTD,738222.00,2026-07-23,,
ADV-000232,INV-2026-001109,ORBITEX PACKAGING RAJ,326073.00,2026-08-08,,
ADV-000233,INV-2026-001112,GOLDCREST SECURITY SYSTEMS & CO,373380.00,2026-08-18,900000057557,
ADV-000234,INV-2026-001113,ZENITH ONE LOGISTICS & CO,433000.00,2026-07-24,900000057577,
ADV-000235,,MERIDIAN LAB SUPPLIES LLP,185586.00,2026-06-27,900000057643,
ADV-000236,,TRIVIDATA ROOF,907554.00,2026-07-21,900000057664,
ADV-000237,,SHREE BOLAJI MACHINE PARTS & CO,141349.00,2026-08-23,,
ADV-000238,,GOLDCREST SECURITY SYSTEMS & CO,712570.00,2026-08-11,900000057866,
ADV-000239,,ASHWINI INTERI,1287280.00,2026-07-06,,
ADV-000240,INV-2026-001131,SURYAVANSH PETRO CHEMICALS & CO,99174.00,2026-07-25,900000058407,
ADV-000241,INV-2026-001141,GOLDCREST STEEL TRADERS & CO,1352077.00,2026-07-12,900000058864,
ADV-000242,INV-2026-001142,TRINPIP SOLUTIONS,440934.00,2026-08-25,900000058903,
ADV-000243,,SHREE BALAJI MACHINE PARTS & CO,403930.00,2026-08-31,900000058997,
ADV-000244,,GOLDCREST SECURIT,1388104.00,2026-08-20,900000059155,
ADV-000245,INV-2026-001146,GOLDCREST WAREHOUSING RAJ,220498.00,2026-06-22,900000059228,
ADV-000246,INV-2026-001157,SAPTAGIRI ,659961.00,2026-06-22,900000059886,
ADV-000247,,ORBITEX DAIRY,507080.00,2026-07-03,,
ADV-000248,INV-2026-001168,SURYAVANSH CATERING SERVICES COMPANY,117732.00,2026-07-28,,
ADV-000249,INV-2026-001169,NALANDA FAB ,461659.00,2026-08-17,900000060551,
ADV-000250,,ORBITEX PAC,110149.00,2026-08-08,900000060635,
ADV-000251,INV-2026-001176,TRINETRA PIPING SOLU,272026.00,2026-08-17,,
ADV-000252,INV-2026-001177,ANANT INFRA STAFFING PRIVATE LIMITED,439521.00,2026-08-16,,
ADV-000253,INV-2026-001179,TRIVIDATA ROOFING PRODUCTS PRIVATE LIMITED,1530257.00,2026-07-23,900000061116,
ADV-000254,INV-2026-001182,VEDIKA TEXTILES LTD,248550.00,2026-07-12,900000061249,
ADV-000255,INV-2026-001188,ZENITH ONE LOGISTICS & CO,356383.00,2026-07-31,,
ADV-000256,INV-2026-001189,MERIDIAN LAB SUPPL,1437962.00,2026-07-12,,
ADV-000257,,ANANT INFRA,98046.00,2026-07-31,,
ADV-000258,INV-2026-001193,VEDIKA FACILITY MANAGEMENT &FCO,204793.00,2026-08-01,900000061643,
ADV-000259,INV-2026-001194,VEDIKA TEXTILES KOC,194996.00,2026-07-25,900000061714,
ADV-000260,INV-2026-001202,GOLDCREST STEEL TRADERS COMPANY,662890.00,2026-07-13,,
ADV-000261,INV-2026-001205,SURYAVANSH PETRO C,1418172.00,2026-07-27,900000062093,
ADV-000262,INV-2026-001209,PUSHPA METALS AGRI,212598.00,2026-07-08,,
ADV-000263,INV-2026-001218,SURYAVANSH CATERING SERVICES COMPANY,401673.00,2026-07-29,,
ADV-000264,,NALANDA RECYCLERS LLP,1001151.00,2026-07-14,900000062735,
ADV-000265,INV-2026-001237,GOLDCREST SECURITY SYSTEMS RAJ,2680301.00,2026-09-03,900000063430,
ADV-000266,INV-2026-001244,ASHWINT INTE,645606.00,2026-07-08,,
ADV-000267,INV-2026-001251,VEDIKA FACILITY MANAGEMENT PRIVATE LIMITED,349314.00,2026-08-10,900000064043,
ADV-000268,INV-2026-001252,SURYAVANSH PETRO CHEMICALS & CO,272404.00,2026-08-03,,
ADV-000269,,NALANDA RECYCLERS PVT LTD,650671.00,2026-07-16,,
ADV-000270,,NALANDA RECYCLERS ,512749.00,2026-07-27,900000064171,
ADV-000271,INV-2026-001256,EVERSTONE WATER TREATMENT COMPANY,1283718.00,2026-09-02,900000064277,
ADV-000272,,ASHWINI SOLAR E,508003.00,2026-08-27,900000064998,
ADV-000273,INV-2026-001279,ANANT INFRA CONVEYANCES PVT LTD,79524.00,2026-07-14,900000065181,
ADV-000274,INV-2026-001280,ORBITEX PACKAGING PRIVATE LIMITED,253413.00,2026-08-23,900000065264,
ADV-000275,INV-2026-001282,ORBITEX PAPER MI,2796676.00,2026-07-04,,
ADV-000276,,ASHWINI SOLAR EPC NAG,836066.00,2026-08-31,,
ADV-000277,INV-2026-001291,TRINETRA PIPING SOLUTIONS LLP,306851.00,2026-09-01,,
ADV-000278,,ASHWINT INTERIORS ,110629.00,2026-07-30,900000065920,
ADV-000279,INV-2026-001294,VEDIKA TEXTILES COMPANY,475795.00,2026-07-18,900000065995,
ADV-000280,,GOLDCREST WAREHOU,115405.00,2026-07-03,,
ADV-000281,,SURYAVANSH PETRO CHEMICALS NAG,423484.00,2026-08-08,,
ADV-000282,,ORBITEX DAIRY FOODS COI,812013.00,2026-07-03,900000066169,
ADV-000283,INV-2026-001312,SURYAVANSH PETRO CHEMICALS NAG,241989.00,2026-08-10,900000066924,
ADV-000284,INV-2026-001313,SAHYADRI POLYMERS PRIVAT,618930.00,2026-08-31,900000066930,
ADV-000285,,SHREE BALAJI HARDWARE PRIVATE LIMITED,427610.00,2026-08-11,,
