refund_id,payment_id,amount,created_at,settlement_id,status
rfnd_0000046,pay_260416001381,1303.97,2026-04-17,setl_00000037,processed
rfnd_0000047,pay_260416001404,1177.95,2026-04-17,setl_00000037,processed
rfnd_0000048,pay_260417001450,1294.15,2026-04-18,setl_00000038,processed
rfnd_0000049,pay_260419001465,1569.49,2026-04-20,setl_00000040,processed
rfnd_0000050,pay_260423001626,1483.62,2026-04-24,setl_00000044,processed
rfnd_0000051,pay_260425001684,407.98,2026-04-26,setl_00000046,processed
rfnd_0000052,pay_260426001689,2394.84,2026-04-27,setl_00000047,processed
rfnd_0000053,pay_260426001691,2733.39,2026-04-27,setl_00000047,processed
rfnd_0000054,pay_260426001693,659.60,2026-04-27,setl_00000047,processed
rfnd_0000055,pay_260428001746,1049.50,2026-04-29,setl_00000049,processed
rfnd_0000056,pay_260428001752,1945.92,2026-04-29,setl_00000049,processed
rfnd_0000057,pay_260429001764,3930.16,2026-04-30,setl_00000050,processed
rfnd_0000058,pay_260429001768,2400.40,2026-04-30,setl_00000050,processed
rfnd_0000059,pay_260429001782,1892.58,2026-04-30,setl_00000050,processed
rfnd_0000060,pay_260501001834,936.00,2026-05-02,setl_00000052,processed
rfnd_0000061,pay_260504001884,3941.65,2026-05-05,setl_00000054,processed
rfnd_0000062,pay_260506001963,496.55,2026-05-07,setl_00000056,processed
rfnd_0000063,pay_260506001987,471.07,2026-05-07,setl_00000056,processed
rfnd_0000064,pay_260506001995,1967.73,2026-05-07,setl_00000056,processed
rfnd_0000065,pay_260507002011,810.93,2026-05-08,setl_00000057,processed
rfnd_0000066,pay_260508002049,2497.20,2026-05-09,setl_00000058,processed
rfnd_0000067,pay_260508002062,3951.88,2026-05-09,setl_00000058,processed
rfnd_0000068,pay_260508002074,3426.58,2026-05-09,setl_00000058,processed
rfnd_0000069,pay_260513002183,418.75,2026-05-14,setl_00000063,processed
rfnd_0000070,pay_260515002236,1362.68,2026-05-16,setl_00000065,processed
rfnd_0000071,pay_260517002309,466.55,2026-05-18,setl_00000067,processed
rfnd_0000072,pay_260519002391,692.59,2026-05-20,setl_00000069,processed
rfnd_0000073,pay_260525002507,2672.18,2026-05-26,setl_00000075,processed
rfnd_0000074,pay_260526002536,1602.57,2026-05-27,setl_00000076,processed
rfnd_0000075,pay_260529002667,1839.47,2026-05-30,setl_00000079,processed
rfnd_0000076,pay_260529002683,1864.39,2026-05-30,setl_00000079,processed
rfnd_0000077,pay_260529002686,3174.17,2026-05-30,setl_00000079,processed
rfnd_0000078,pay_260602002797,3506.16,2026-06-03,setl_00000083,processed
rfnd_0000079,pay_260602002806,2125.78,2026-06-03,setl_00000083,processed
rfnd_0000080,pay_260602002823,3188.80,2026-06-03,setl_00000083,processed
rfnd_0000081,pay_260603002853,286.58,2026-06-04,setl_00000084,processed
rfnd_0000082,pay_260604002867,784.25,2026-06-05,setl_00000085,processed
rfnd_0000083,pay_260605002895,979.48,2026-06-06,setl_00000086,processed
rfnd_0000084,pay_260605002898,157.65,2026-06-06,setl_00000086,processed
rfnd_0000085,pay_260606002973,729.52,2026-06-07,setl_00000087,processed
rfnd_0000086,pay_260608003002,694.28,2026-06-09,setl_00000089,processed
rfnd_0000087,pay_260608003004,1240.83,2026-06-09,setl_00000089,processed
rfnd_0000088,pay_260609003078,3480.95,2026-06-10,setl_00000090,processed
rfnd_0000089,pay_260610003105,1938.75,2026-06-11,setl_00000091,processed
rfnd_0000090,pay_260610003125,3917.10,2026-06-11,setl_00000091,processed
rfnd_0000091,pay_260612003167,1206.02,2026-06-13,setl_00000093,processed
rfnd_0000092,pay_260612003179,3014.03,2026-06-13,setl_00000093,processed
rfnd_0000093,pay_260612003180,1357.72,2026-06-13,setl_00000093,processed
rfnd_0000094,pay_260615003240,711.64,2026-06-16,setl_00000096,processed
rfnd_0000095,pay_260617003279,4087.11,2026-06-18,setl_00000098,processed
rfnd_0000096,pay_260618003299,1888.49,2026-06-19,setl_00000099,processed
rfnd_0000097,pay_260618003314,910.39,2026-06-19,setl_00000099,processed
rfnd_0000098,pay_260618003318,2332.65,2026-06-19,setl_00000099,processed
rfnd_0000099,pay_260618003326,471.92,2026-06-19,setl_00000099,processed
rfnd_0000100,pay_260619003366,1671.35,2026-06-20,setl_00000100,processed
rfnd_0000101,pay_260620003382,3357.62,2026-06-21,setl_00000101,processed
rfnd_0000102,pay_260622003405,670.06,2026-06-23,setl_00000102,processed
rfnd_0000103,pay_260626003562,1001.86,2026-06-27,setl_00000106,processed
rfnd_0000104,pay_260626003570,2528.78,2026-06-27,setl_00000106,processed
rfnd_0000105,pay_260626003581,638.51,2026-06-27,setl_00000106,processed
rfnd_0000106,pay_260629003658,1947.26,2026-06-30,setl_00000109,processed
rfnd_0000107,pay_260629003700,2357.42,2026-06-30,setl_00000109,processed
rfnd_0000108,pay_260701003751,3563.71,2026-07-02,setl_00000111,processed
rfnd_0000109,pay_260701003782,226.25,2026-07-02,setl_00000111,processed
rfnd_0000110,pay_260702003827,507.68,2026-07-03,setl_00000112,processed
rfnd_0000111,pay_260703003851,4240.98,2026-07-04,setl_00000113,processed
rfnd_0000112,pay_260706003900,3150.56,2026-07-07,setl_00000116,processed
rfnd_0000113,pay_260706003938,4762.24,2026-07-07,setl_00000116,processed
rfnd_0000114,pay_260709004019,2715.53,2026-07-10,setl_00000119,processed
rfnd_0000115,pay_260709004025,1783.77,2026-07-10,setl_00000119,processed
rfnd_0000116,pay_260709004026,1571.17,2026-07-10,setl_00000119,processed
rfnd_0000117,pay_260711004095,2278.50,2026-07-12,setl_00000121,processed
rfnd_0000118,pay_260713004127,467.06,2026-07-14,setl_00000123,processed
rfnd_0000119,pay_260713004138,2185.21,2026-07-14,setl_00000123,processed
rfnd_0000120,pay_260713004145,304.21,2026-07-14,setl_00000123,processed
rfnd_0000121,pay_260715004222,550.56,2026-07-16,setl_00000125,processed
rfnd_0000122,pay_260716004239,854.48,2026-07-17,setl_00000126,processed
rfnd_0000123,pay_260716004248,2245.60,2026-07-17,setl_00000126,processed
rfnd_0000124,pay_260717004265,899.60,2026-07-18,setl_00000127,processed
rfnd_0000125,pay_260717004276,1395.23,2026-07-18,setl_00000127,processed
rfnd_0000126,pay_260717004293,3635.16,2026-07-18,setl_00000127,processed
rfnd_0000127,pay_260720004321,1810.23,2026-07-21,setl_00000129,processed
rfnd_0000128,pay_260721004369,2060.22,2026-07-22,setl_00000130,processed
rfnd_0000129,pay_260721004377,971.49,2026-07-22,setl_00000130,processed
rfnd_0000130,pay_260721004386,1846.56,2026-07-22,setl_00000130,processed
rfnd_0000131,pay_260723004417,295.20,2026-07-24,setl_00000132,processed
rfnd_0000132,pay_260723004422,3420.16,2026-07-24,setl_00000132,processed
rfnd_0000133,pay_260724004454,2512.32,2026-07-25,setl_00000133,processed
rfnd_0000134,pay_260724004459,930.89,2026-07-25,setl_00000133,processed
rfnd_0000135,pay_260724004479,795.45,2026-07-25,setl_00000133,processed
rfnd_0000136,pay_260727004551,1182.14,2026-07-28,setl_00000136,processed
rfnd_0000137,pay_260727004563,1380.16,2026-07-28,setl_00000136,processed
rfnd_0000138,pay_260729004611,3235.08,2026-07-30,setl_00000138,processed
rfnd_0000139,pay_260729004635,2673.78,2026-07-30,setl_00000138,processed
rfnd_0000140,pay_260729004645,2197.40,2026-07-30,setl_00000138,processed
rfnd_0000141,pay_260730004680,1021.04,2026-07-31,setl_00000139,processed
rfnd_0000142,pay_260731004692,1195.56,2026-08-01,setl_00000140,processed
rfnd_0000143,pay_260731004718,1471.04,2026-08-01,setl_00000140,processed
rfnd_0000144,pay_260731004733,604.50,2026-08-01,setl_00000140,processed
rfnd_0000145,pay_260801004755,2524.91,2026-08-02,setl_00000141,processed
rfnd_0000146,pay_260803004774,894.09,2026-08-04,setl_00000142,processed
rfnd_0000147,pay_260803004779,1670.46,2026-08-04,setl_00000142,processed
rfnd_0000148,pay_260804004819,1819.13,2026-08-05,setl_00000143,processed
rfnd_0000149,pay_260805004862,923.89,2026-08-06,setl_00000144,processed
rfnd_0000150,pay_260806004884,2533.62,2026-08-07,setl_00000145,processed
rfnd_0000151,pay_260806004896,711.02,2026-08-07,setl_00000145,processed
rfnd_0000152,pay_260807004915,2709.49,2026-08-08,setl_00000146,processed
rfnd_0000153,pay_260807004923,2050.41,2026-08-08,setl_00000146,processed
rfnd_0000154,pay_260809004949,2675.09,2026-08-10,setl_00000147,processed
rfnd_0000155,pay_260810004959,795.57,2026-08-11,setl_00000148,processed
rfnd_0000156,pay_260812005044,1848.85,2026-08-13,setl_00000150,processed
rfnd_0000157,pay_260814005126,823.77,2026-08-15,setl_00000152,processed
rfnd_0000158,pay_260815005180,2602.07,2026-08-16,setl_00000153,processed
rfnd_0000159,pay_260819005301,637.25,2026-08-20,setl_00000157,processed
rfnd_0000160,pay_260819005315,2039.51,2026-08-20,setl_00000157,processed
rfnd_0000161,pay_260820005351,1971.37,2026-08-21,setl_00000158,processed
rfnd_0000162,pay_260820005358,1821.92,2026-08-21,setl_00000158,processed
rfnd_0000163,pay_260822005405,300.46,2026-08-23,setl_00000160,processed
rfnd_0000164,pay_260822005407,1480.60,2026-08-23,setl_00000160,processed
rfnd_0000165,pay_260822005416,371.47,2026-08-23,setl_00000160,processed
rfnd_0000166,pay_260824005457,1548.58,2026-08-25,setl_00000162,processed
rfnd_0000167,pay_260825005513,407.55,2026-08-26,setl_00000163,processed
rfnd_0000168,pay_260827005527,3630.95,2026-08-28,setl_00000165,processed
rfnd_0000169,pay_260827005529,4184.54,2026-08-28,setl_00000165,processed
rfnd_0000170,pay_260827005535,2476.49,2026-08-28,setl_00000165,processed
rfnd_0000171,pay_260827005537,695.23,2026-08-28,setl_00000165,processed
rfnd_0000172,pay_260827005540,2170.72,2026-08-28,setl_00000165,processed
rfnd_0000173,pay_260827005555,519.76,2026-08-28,setl_00000165,processed
rfnd_0000174,pay_260830005633,5023.83,2026-08-31,setl_00000168,processed
rfnd_0000175,pay_260831005658,407.28,2026-09-01,setl_00000169,processed
rfnd_0000176,pay_260901005728,556.91,2026-09-02,setl_00000170,processed
rfnd_0000177,pay_260903005793,1562.75,2026-09-04,setl_00000172,processed
rfnd_0000178,pay_260904005835,2663.66,2026-09-05,setl_00000173,processed
