settlement_id,settled_on,payout_utr,batch_type,txn_count,gross_amount,commission_amount,tmn_amount,gst_amount,tds_amount,net_amount,scheduled_id
setl_00000079,2026-06-01,900000004052,regular,52,158677.00,2813.97,1.58,506.79,56.27,148420.36,stl_sch_000079
setl_00000080,2026-06-01,900000004105,regular,24,74399.00,1436.61,0.74,258.72,28.73,72674.20,stl_sch_000080
setl_00000081,2026-06-02,900000004179,regular,12,37993.00,675.40,0.37,121.63,13.50,37182.10,stl_sch_000081
setl_00000082,2026-06-03,900000004204,regular,44,118842.00,2166.01,1.18,390.09,43.32,116241.40,stl_sch_000082
setl_00000083,2026-06-04,900000004212,regular,30,84750.00,1695.00,0.84,305.25,33.90,73894.27,stl_sch_000083
setl_00000084,2026-06-05,900000004242,regular,36,106880.00,1864.90,1.06,335.87,37.29,104226.97,stl_sch_000084
setl_00000085,2026-06-06,900000004255,regular,35,105195.00,1853.82,1.05,333.87,37.07,102184.94,stl_sch_000085
setl_00000086,2026-06-08,900000004295,regular,78,231213.00,4349.61,2.31,783.34,86.99,224853.62,stl_sch_000086
setl_00000087,2026-06-08,900000004317,regular,6,13935.00,278.70,0.13,50.18,5.57,12870.90,stl_sch_000087
setl_00000088,2026-06-09,900000004330,regular,17,51722.00,944.73,0.51,170.14,18.89,50405.31,stl_sch_000088
setl_00000089,2026-06-10,900000004358,regular,50,134514.00,2520.15,1.34,453.86,50.40,129553.14,stl_sch_000089
setl_00000090,2026-06-11,900000004417,regular,37,108131.00,2074.49,1.08,373.60,41.48,102159.40,stl_sch_000090
setl_00000091,2026-06-12,900000004483,regular,43,107691.00,2048.56,1.07,368.93,40.97,99375.62,stl_sch_000091
setl_00000092,2026-06-13,900000004488,regular,24,70573.00,1411.46,0.70,254.18,28.22,68878.44,stl_sch_000092
setl_00000093,2026-06-15,900000004518,regular,42,115080.00,2084.27,1.15,375.37,41.68,106999.76,stl_sch_000093
setl_00000094,2026-06-15,900000004598,regular,5,13576.00,241.45,0.13,43.48,4.82,13286.12,stl_sch_000094
setl_00000095,2026-06-16,900000004644,regular,1,4934.00,98.68,0.04,17.76,1.97,4807.29,stl_sch_000095
setl_00000096,2026-06-17,900000004709,regular,55,157339.00,3002.40,1.57,540.71,60.04,153022.64,stl_sch_000096
setl_00000097,2026-06-18,900000004716,regular,25,78864.00,1436.06,0.78,258.63,28.72,77139.81,stl_sch_000097
setl_00000098,2026-06-19,900000004734,regular,13,35227.00,704.54,0.35,126.88,14.09,30294.03,stl_sch_000098
setl_00000099,2026-06-20,900000004736,regular,39,105683.00,1880.22,1.05,338.62,37.60,97822.06,stl_sch_000099
setl_00000100,2026-06-22,900000004772,regular,46,122058.00,2279.54,1.22,410.53,45.59,117649.77,stl_sch_000100
setl_00000101,2026-06-22,900000004797,regular,11,36429.00,672.62,0.36,121.13,13.45,32263.82,stl_sch_000101
setl_00000102,2026-06-24,900000004850,regular,64,178853.00,3385.54,1.78,609.71,67.71,173539.43,stl_sch_000102
setl_00000103,2026-06-25,900000004939,regular,36,118091.00,2161.51,1.18,389.28,43.23,115495.80,stl_sch_000103
setl_00000104,2026-06-26,900000004975,regular,24,71597.00,1326.52,0.71,238.90,26.53,70004.34,stl_sch_000104
setl_00000105,2026-06-27,900000005010,regular,45,137022.00,2638.12,1.37,475.10,52.76,132586.68,stl_sch_000105
setl_00000106,2026-06-29,900000005023,regular,80,243466.00,4556.88,2.43,820.67,91.13,233825.74,stl_sch_000106
setl_00000107,2026-06-29,900000005096,regular,11,22643.00,405.61,0.22,73.04,8.11,22095.24,stl_sch_000107
setl_00000108,2026-06-30,900000005139,regular,10,21659.00,408.02,0.21,73.48,8.16,21169.13,stl_sch_000108
setl_00000109,2026-07-01,900000005218,regular,52,153274.00,2933.66,1.53,528.33,58.67,145447.13,stl_sch_000109
setl_00000110,2026-07-02,900000005238,regular,37,118711.00,2239.10,1.18,403.25,44.78,116022.69,stl_sch_000110
setl_00000111,2026-07-03,900000005257,regular,47,130098.00,2339.05,1.30,421.26,46.78,123499.65,stl_sch_000111
setl_00000112,2026-07-04,900000005294,regular,47,124868.00,2247.19,1.24,404.71,44.94,121448.45,stl_sch_000112
setl_00000113,2026-07-06,900000005365,regular,33,101862.00,1988.70,1.01,358.14,39.77,95233.40,stl_sch_000113
setl_00000114,2026-07-06,900000005444,regular,17,51410.00,977.07,0.51,175.96,19.54,50236.92,stl_sch_000114
setl_00000115,2026-07-07,900000005463,regular,3,5636.00,112.72,0.05,20.29,2.25,5500.69,stl_sch_000115
setl_00000116,2026-07-08,900000005508,regular,47,148002.00,2960.04,1.48,533.07,59.20,136535.41,stl_sch_000116
setl_00000117,2026-07-09,900000005522,regular,30,94246.00,1610.43,0.94,290.04,32.20,92312.39,stl_sch_000117
setl_00000118,2026-07-10,900000005619,regular,17,51964.00,964.05,0.51,173.62,19.28,50806.54,stl_sch_000118
setl_00000119,2026-07-11,900000005647,regular,57,145524.00,2474.64,1.45,445.69,49.49,136482.26,stl_sch_000119
setl_00000120,2026-07-13,900000005658,regular,44,149638.00,2820.96,1.49,508.04,56.41,137845.53,stl_sch_000120
setl_00000121,2026-07-13,900000005659,regular,11,22806.00,447.16,0.22,80.52,8.94,19990.66,stl_sch_000121
setl_00000122,2026-07-14,900000005715,regular,2,6793.00,112.79,0.06,20.31,2.25,6657.59,stl_sch_000122
setl_00000123,2026-07-15,900000005762,regular,55,178143.00,3268.22,1.78,588.60,65.36,171262.56,stl_sch_000123
setl_00000124,2026-07-16,900000005784,regular,31,87218.00,1547.07,0.87,278.62,30.94,85360.50,stl_sch_000124
setl_00000125,2026-07-17,900000005834,regular,43,113413.00,2047.93,1.13,368.83,40.95,110403.60,stl_sch_000125
setl_00000126,2026-07-18,900000005842,regular,33,100876.00,1800.60,1.00,324.28,36.01,95614.03,stl_sch_000126
setl_00000127,2026-07-20,900000005886,regular,33,103998.00,1845.91,1.03,332.44,36.91,95851.72,stl_sch_000127
setl_00000128,2026-07-20,900000005922,regular,4,14892.00,248.15,0.14,44.69,4.96,14594.06,stl_sch_000128
setl_00000129,2026-07-22,900000005974,regular,46,135325.00,2500.72,1.35,450.37,50.01,130512.32,stl_sch_000129
setl_00000130,2026-07-23,900000006053,regular,41,115457.00,2121.79,1.15,382.12,42.43,108031.24,stl_sch_000130
setl_00000131,2026-07-24,900000006088,regular,13,42597.00,851.94,0.42,153.42,17.03,41480.92,stl_sch_000131
setl_00000132,2026-07-25,900000006147,regular,42,121906.00,2197.52,1.21,395.77,43.95,115552.19,stl_sch_000132
setl_00000133,2026-07-27,900000006162,regular,52,155033.00,2922.66,1.55,526.35,58.45,147285.33,stl_sch_000133
setl_00000134,2026-07-27,900000006240,regular,20,68535.00,1211.07,0.68,218.11,24.22,67080.92,stl_sch_000134
setl_00000135,2026-07-28,900000006290,regular,4,13973.00,224.74,0.13,40.47,4.49,13703.17,stl_sch_000135
setl_00000136,2026-07-29,900000006357,regular,51,138901.00,2527.77,1.38,455.24,50.55,133303.76,stl_sch_000136
setl_00000137,2026-07-30,900000006419,regular,36,96255.00,1925.10,0.96,346.69,38.50,93943.75,stl_sch_000137
setl_00000138,2026-07-31,900000006508,regular,45,131251.00,2480.95,1.31,446.80,49.61,119957.74,stl_sch_000138
setl_00000139,2026-08-01,900000006581,regular,34,106663.00,2040.74,1.06,367.52,40.81,103191.83,stl_sch_000139
setl_00000140,2026-08-03,900000006667,regular,63,154538.00,2848.60,1.54,513.02,56.97,147846.77,stl_sch_000140
setl_00000141,2026-08-03,900000006690,regular,20,60502.00,1179.44,0.60,212.40,23.58,56561.07,stl_sch_000141
setl_00000142,2026-08-05,900000006778,regular,49,132029.00,2589.82,1.32,466.40,51.79,126355.12,stl_sch_000142
setl_00000143,2026-08-06,900000006851,regular,25,60250.00,1139.35,0.60,205.19,22.78,56863.43,stl_sch_000143
setl_00000144,2026-08-07,900000006941,regular,23,73993.00,1431.80,0.73,257.85,28.63,71350.10,stl_sch_000144
setl_00000145,2026-08-08,900000006957,regular,45,112844.00,1961.51,1.12,353.27,39.23,107244.23,stl_sch_000145
setl_00000146,2026-08-10,900000007007,regular,36,105997.00,1958.26,1.05,352.67,39.16,98885.96,stl_sch_000146
setl_00000147,2026-08-11,900000007096,regular,10,26442.00,528.84,0.26,95.23,10.57,23132.01,stl_sch_000147
setl_00000148,2026-08-12,900000007145,regular,49,149727.00,2824.99,1.49,508.76,56.49,145539.70,stl_sch_000148
setl_00000149,2026-08-13,900000007175,regular,39,114962.00,2031.97,1.14,365.95,40.63,112522.31,stl_sch_000149
setl_00000150,2026-08-14,900000007239,regular,27,71481.00,1429.62,0.71,257.45,28.59,67915.78,stl_sch_000150
setl_00000151,2026-08-17,900000007306,regular,52,160279.00,3205.58,1.60,577.29,64.11,156430.42,stl_sch_000151
setl_00000152,2026-08-17,900000007356,regular,58,165377.00,3123.73,1.65,562.56,62.47,160802.82,stl_sch_000152
setl_00000153,2026-08-17,900000007452,regular,22,76915.00,1448.60,0.76,260.88,28.97,72573.72,stl_sch_000153
setl_00000154,2026-08-18,900000007518,regular,9,30256.00,572.29,0.30,103.06,11.44,29568.91,stl_sch_000154
setl_00000155,2026-08-19,900000007584,regular,46,135959.00,2572.57,1.35,463.30,51.45,132870.33,stl_sch_000155
setl_00000156,2026-08-20,900000007678,regular,32,90936.00,1591.46,0.90,286.62,31.82,89025.20,stl_sch_000156
setl_00000157,2026-08-21,900000007758,regular,27,79858.00,1432.45,0.79,257.98,28.64,75461.38,stl_sch_000157
setl_00000158,2026-08-22,900000007843,regular,47,141994.00,2638.47,1.41,475.17,52.76,135032.90,stl_sch_000158
setl_00000159,2026-08-24,900000007913,regular,39,120024.00,2204.19,1.20,396.97,44.08,117377.56,stl_sch_000159
setl_00000160,2026-08-24,900000007930,regular,17,40145.00,762.30,0.40,137.28,15.24,37077.25,stl_sch_000160
setl_00000161,2026-08-25,900000007963,regular,1,4987.00,99.74,0.04,17.96,1.99,4867.27,stl_sch_000161
setl_00000162,2026-08-26,900000008040,regular,52,155139.00,2716.66,1.55,489.27,54.33,150328.61,stl_sch_000162
setl_00000163,2026-08-27,900000008085,regular,42,119574.00,2178.49,1.19,392.34,43.56,116550.87,stl_sch_000163
setl_00000164,2026-08-28,900000008182,regular,13,35894.00,650.87,0.35,117.21,13.01,35044.28,stl_sch_000164
setl_00000165,2026-08-29,900000008197,regular,46,149818.00,2996.36,1.49,539.61,59.92,132542.93,stl_sch_000165
setl_00000166,2026-08-31,900000008234,regular,54,160223.00,2951.24,1.60,531.51,59.02,156679.63,stl_sch_000166
setl_00000167,2026-08-31,900000008266,regular,4,8782.00,175.64,0.08,31.62,3.51,8571.15,stl_sch_000167
setl_00000168,2026-09-01,900000008339,regular,17,48181.00,905.83,0.48,163.13,18.11,42069.62,stl_sch_000168
setl_00000169,2026-09-02,900000008350,regular,40,110678.00,1939.66,1.10,349.33,38.79,107941.84,stl_sch_000169
setl_00000170,2026-09-03,900000008423,regular,42,119358.00,2373.70,1.19,427.48,47.47,115951.25,stl_sch_000170
setl_00000171,2026-09-04,900000008518,regular,33,95105.00,1764.69,0.95,317.81,35.29,92986.26,stl_sch_000171
setl_00000172,2026-09-05,900000008544,regular,38,117074.00,2151.94,1.17,387.55,43.03,112927.56,stl_sch_000172
setl_00000173,2026-09-07,900000008634,regular,47,152258.00,2716.54,1.52,489.25,54.33,146332.70,stl_sch_000173
setl_00000174,2026-09-07,900000008676,regular,5,14492.00,289.84,0.14,52.19,5.79,14144.04,stl_sch_000174
