settlement_id,settled_on,bank_line_id,txn_count,gross_paise,declared_fee_paise,expected_fee_paise,fee_diff_paise,refund_paise,declared_net_paise,expected_net_paise,credited_paise,credit_gap_paise,unexplained_deduction_paise,overbilled_paise,component_overbill_paise,undercredited_paise,recoverable_paise,recovery_rate_pct,flags
setl_00000054,2026-07-03,BL-000219,36,9800800,187384,187384,0,0,9575825,9575825,9575825,0,0,0,0,0,0,100.0,
setl_00000055,2026-07-04,BL-000226,17,4195400,71645,71645,0,0,4109379,4109379,4109379,0,0,0,0,0,0,100.0,
setl_00000056,2026-07-06,BL-000237,51,15138200,274966,274966,0,327740,14463596,14480323,14463596,0,16727,0,0,16727,33454,99.88,BATCH_ARITHMETIC
setl_00000057,2026-07-06,BL-000236,7,1967900,36934,36934,0,0,1923558,1923558,1923558,0,0,0,0,0,0,100.0,
setl_00000058,2026-07-08,BL-000253,38,11770400,214560,214560,0,303377,11209414,11209414,11209414,0,0,0,0,0,0,100.0,
setl_00000059,2026-07-09,BL-000258,45,12286700,229742,229742,0,398967,11611900,11611900,11611900,0,0,0,0,0,0,100.0,
setl_00000060,2026-07-10,BL-000265,43,12292200,220117,220117,0,118927,11908989,11908989,11908989,0,0,0,0,0,0,100.0,
setl_00000061,2026-07-11,BL-000270,37,9343900,170350,170350,0,0,9139371,9139371,9139371,0,0,0,0,0,0,100.0,
setl_00000062,2026-07-13,BL-000284,55,15427300,275912,275912,0,266258,14829767,14829767,14829767,0,0,0,0,0,0,100.0,
setl_00000063,2026-07-14,BL-000298,6,2240000,44800,44800,0,0,2186215,2186215,2186215,0,0,0,0,0,0,100.0,
setl_00000064,2026-07-15,BL-000307,46,12832400,247522,247522,0,0,12535223,12535223,12535223,0,0,0,0,0,0,100.0,
setl_00000065,2026-07-16,BL-000310,41,12182400,211922,211922,0,672739,11219843,11255213,11219843,0,35370,0,0,35370,70740,99.69,BATCH_ARITHMETIC
setl_00000066,2026-07-17,BL-000315,37,11443600,202836,202836,0,69844,11130219,11130219,11130219,0,0,0,0,0,0,100.0,
setl_00000067,2026-07-18,BL-000321,48,13686500,245448,245448,0,0,13391803,13391803,13391803,0,0,0,0,0,0,100.0,
setl_00000068,2026-07-20,BL-000338,49,13287500,252831,252831,0,173381,12810567,12810567,12810567,0,0,0,0,0,0,100.0,
setl_00000069,2026-07-20,BL-000337,6,1927200,37431,37431,0,0,1882261,1882261,1882261,0,0,0,0,0,0,100.0,
setl_00000070,2026-07-21,BL-000356,17,4694400,83800,83800,0,282486,4311300,4311300,4311300,0,0,0,0,0,0,100.0,
setl_00000071,2026-07-22,BL-000364,41,13357700,260950,260950,0,349623,12694781,12694781,12694781,0,0,0,0,0,0,100.0,
setl_00000072,2026-07-23,BL-000379,22,6375600,118003,118003,0,0,6233923,6233923,6233923,0,0,0,0,0,0,100.0,
setl_00000073,2026-07-24,BL-000391,21,6056100,111740,111740,0,0,5921942,5921942,5921942,0,0,0,0,0,0,100.0,
setl_00000074,2026-07-25,BL-000398,36,8997400,164768,164768,0,109222,8690352,8690352,8690352,0,0,0,0,0,0,100.0,
setl_00000075,2026-07-27,BL-000404,66,18336600,330413,330413,0,429355,17510534,17510534,17510534,0,0,0,0,0,0,100.0,
setl_00000076,2026-07-27,BL-000403,11,3283000,60082,60082,0,0,3199341,3210865,3199341,0,11524,0,0,11524,23048,99.64,BATCH_ARITHMETIC
setl_00000077,2026-07-28,BL-000418,3,1281400,25628,25628,0,0,1250633,1250633,1250633,0,0,0,0,0,0,100.0,
setl_00000078,2026-07-29,BL-000431,55,15080000,279983,279983,0,200262,14543583,14543583,14543583,0,0,0,0,0,0,100.0,
setl_00000079,2026-07-30,BL-000438,43,11913200,223326,223326,0,222371,11422698,11422698,11422698,0,0,0,0,0,0,100.0,
setl_00000080,2026-07-31,BL-000447,41,11454100,203849,203849,0,373733,10804684,10835615,10804684,0,30931,0,0,30931,61862,99.71,BATCH_ARITHMETIC
setl_00000081,2026-08-01,BL-000457,35,9307800,170641,170641,0,208556,8894366,8894366,8894366,0,0,0,0,0,0,100.0,
setl_00000082,2026-08-03,BL-000475,38,10150700,183634,183634,0,432096,9498125,9498125,9498125,0,0,0,0,0,0,100.0,
setl_00000083,2026-08-03,BL-000474,27,7276300,131986,131986,0,0,7117833,7117833,7117833,0,0,0,0,0,0,100.0,
setl_00000084,2026-08-05,BL-000492,51,15314000,283256,283256,0,0,14973913,14973913,14973913,0,0,0,0,0,0,100.0,
setl_00000085,2026-08-06,BL-000500,42,12194100,227005,227005,0,211811,11709741,11709741,11709741,0,0,0,0,0,0,100.0,
setl_00000086,2026-08-07,BL-000506,53,14337500,269174,269174,0,0,13934865,14014323,13934865,0,79458,0,0,79458,158916,99.43,BATCH_ARITHMETIC
setl_00000087,2026-08-08,BL-000522,47,14519500,258225,258225,0,0,13963535,14209460,13963535,0,245925,0,0,245925,491850,98.27,BATCH_ARITHMETIC
setl_00000088,2026-08-10,BL-000537,41,11864800,222107,222107,0,274908,11323225,11323225,11323225,0,0,0,0,0,0,100.0,
setl_00000089,2026-08-10,BL-000534,9,2706100,50951,50951,0,0,2644927,2644927,2644927,0,0,0,0,0,0,100.0,
setl_00000090,2026-08-12,BL-000556,33,9189100,180812,180812,0,0,8787837,8972019,8787837,0,184182,0,0,184182,368364,97.95,BATCH_ARITHMETIC
setl_00000091,2026-08-13,BL-000563,42,12904400,235090,235090,0,495208,12080089,12126933,12080089,0,46844,0,0,46844,93688,99.61,BATCH_ARITHMETIC
setl_00000092,2026-08-14,BL-000575,17,4464000,82216,82216,0,0,4365290,4365290,4365290,0,0,0,0,0,0,100.0,
setl_00000093,2026-08-17,BL-000585,47,14407300,252678,252678,0,595737,13508181,13508181,13508181,0,0,0,0,0,0,100.0,
setl_00000094,2026-08-17,BL-000587,60,17605500,329823,329823,0,53611,17155895,17155895,17155895,0,0,0,0,0,0,100.0,
setl_00000095,2026-08-17,BL-000584,20,6000600,109992,109992,0,159904,5702253,5708636,5702253,0,6383,0,0,6383,12766,99.89,BATCH_ARITHMETIC
setl_00000096,2026-08-19,BL-000607,40,10679700,201629,201629,0,0,10437621,10437621,10437621,0,0,0,0,0,0,100.0,
setl_00000097,2026-08-20,BL-000613,27,7830200,144175,144175,0,819360,6810644,6837739,6810644,0,27095,0,0,27095,54190,99.6,BATCH_ARITHMETIC
setl_00000098,2026-08-21,BL-000622,47,14465100,269940,269940,0,921147,13219856,13219856,13219856,0,0,0,0,0,0,100.0,
setl_00000099,2026-08-22,BL-000629,32,8631000,155605,155605,0,0,8418811,8444173,8418811,0,25362,0,0,25362,50724,99.7,BATCH_ARITHMETIC
setl_00000100,2026-08-24,BL-000638,47,14065400,260826,260826,0,0,13752245,13752245,13752245,0,0,0,0,0,0,100.0,
setl_00000101,2026-08-25,BL-000651,5,1894500,31979,31979,0,0,1856105,1856105,1856105,0,0,0,0,0,0,100.0,
setl_00000102,2026-08-26,BL-000658,35,8724400,163480,163480,0,86822,8441300,8441300,8441300,0,0,0,0,0,0,100.0,
setl_00000103,2026-08-27,BL-000662,42,12822200,239078,239078,0,487501,12047655,12047655,12047655,0,0,0,0,0,0,100.0,
setl_00000104,2026-08-28,BL-000672,22,6411700,117614,117614,0,0,6270488,6270488,6270488,0,0,0,0,0,0,100.0,
setl_00000105,2026-08-29,BL-000684,37,10534500,206074,206074,0,117500,10169588,10169588,10169588,0,0,0,0,0,0,100.0,
setl_00000106,2026-08-31,BL-000696,49,14345100,286902,272798,14104,0,14000649,14017575,14000649,0,0,14104,2822,16926,16926,99.88,FEE_TIER_MISMATCH;FEE_COMPONENT_MISMATCH
setl_00000107,2026-08-31,BL-000695,29,6752900,117945,117945,0,43825,6567463,6567463,6567463,0,0,0,0,0,0,100.0,
setl_00000108,2026-09-02,BL-000712,56,16845700,312283,312283,0,266491,16144008,16204272,16144008,0,60264,0,0,60264,120528,99.63,BATCH_ARITHMETIC
setl_00000109,2026-09-03,BL-000719,55,14410800,256875,256875,0,0,14102381,14102381,14102381,0,0,0,0,0,0,100.0,
setl_00000110,2026-09-04,BL-000725,29,7212300,135303,135303,0,0,7027682,7049852,7027682,0,22170,0,0,22170,44340,99.69,BATCH_ARITHMETIC
setl_00000111,2026-09-05,BL-000733,47,13758300,250118,250118,0,87450,13370548,13370548,13370548,0,0,0,0,0,0,100.0,
setl_00000112,2026-09-07,,65,19770600,366569,366569,0,539778,18790708,18790708,,0,0,0,0,0,0,0.0,
setl_00000113,2026-09-07,,8,2468900,45144,45144,0,250786,2163914,2163914,,0,0,0,0,0,0,0.0,
