document_no,counterparty,party_code,due_date,days_overdue,bucket,outstanding_inr,expected_in_window_inr,status
INV-2026-000277,Anant Infra Solar EPC Ltd,,2026-08-17,19,1-30,1326454.0,0.0,overdue
INV-2026-000570,Raman Deep Conveyances Private Limited,,2026-08-07,29,1-30,1317862.0,0.0,overdue
INV-2026-000573,Raman Deep Conveyances Private Limited,,2026-08-07,29,1-30,1309567.0,0.0,overdue
INV-2026-000020,Karman Print Solutions Private Limited,,2026-06-25,72,61-90,1298586.0,0.0,overdue
INV-2026-000756,Saptagiri Water Treatment LLP,,2026-09-01,4,1-30,1277565.0,1144205.31,overdue
INV-2026-000002,Raman Deep Conveyances Private Limited,,2026-05-23,105,91-180,1273834.0,0.0,overdue
INV-2026-000068,Raman Deep Conveyances Private Limited,,2026-06-02,95,91-180,1256234.0,0.0,overdue
INV-2026-000344,Saptagiri Water Treatment LLP,,2026-07-09,58,31-60,1253426.0,0.0,overdue
INV-2026-000268,Raman Deep Conveyances Private Limited,,2026-06-30,67,61-90,1242352.0,0.0,overdue
INV-2026-000475,Vaishnavi Textiles LLP,,2026-07-25,42,31-60,1228788.0,0.0,overdue
INV-2026-000564,Saptagiri Water Treatment LLP,,2026-08-06,30,1-30,1195070.0,0.0,overdue
INV-2026-000466,Vaishnavi Textiles LLP,,2026-07-24,43,31-60,1187076.0,0.0,overdue
INV-2026-000493,Saptagiri Water Treatment LLP,,2026-07-28,39,31-60,1148494.0,0.0,overdue
INV-2026-000664,Vaishnavi Textiles LLP,,2026-08-20,16,1-30,1117456.0,0.0,overdue
INV-2026-000446,Raman Deep Conveyances Private Limited,,2026-07-21,46,31-60,1114315.0,0.0,overdue
INV-2026-000403,Karman Print Solutions Private Limited,,2026-08-14,22,1-30,1101002.0,0.0,overdue
INV-2026-000374,Everstone Logistics Ltd,,2026-07-27,40,31-60,1099725.0,0.0,overdue
INV-2026-000350,Saptagiri Water Treatment LLP,,2026-07-10,57,31-60,1096304.0,0.0,overdue
INV-2026-000247,Raman Deep Conveyances Private Limited,,2026-06-27,70,61-90,1080182.0,0.0,overdue
INV-2026-000005,Raman Deep Conveyances Private Limited,,2026-05-23,105,91-180,1071292.0,0.0,overdue
INV-2026-000074,Karman Print Solutions Private Limited,,2026-07-03,64,61-90,1056871.0,0.0,overdue
INV-2026-000536,Saptagiri Water Treatment LLP,,2026-08-04,32,31-60,1055780.0,0.0,overdue
INV-2026-000328,Karman Print Solutions Private Limited,,2026-08-07,29,1-30,1024959.0,0.0,overdue
INV-2026-000509,Raman Deep Conveyances Private Limited,,2026-07-31,36,31-60,1012647.0,0.0,overdue
INV-2026-000022,Everstone Logistics Ltd,,2026-06-10,87,61-90,975579.0,0.0,overdue
INV-2026-000499,Vaishnavi Textiles LLP,,2026-07-30,37,31-60,973956.0,0.0,overdue
INV-2026-000510,Hiranyaka Hardware PVT LTD,,2026-07-31,36,31-60,961959.0,0.0,overdue
INV-2026-000367,Indusloom Roofing Products PVT LTD,,2026-07-27,40,31-60,945698.0,0.0,overdue
INV-2026-000438,Vaishnavi Textiles LLP,,2026-07-20,47,31-60,933188.0,0.0,overdue
INV-2026-000550,Karman Print Solutions Private Limited,,2026-09-04,1,1-30,932175.0,714097.99,overdue
INV-2026-000332,Trividata Warehousing Ltd,,2026-07-08,59,31-60,924437.0,0.0,overdue
INV-2026-000467,Raman Deep Conveyances Private Limited,,2026-07-24,43,31-60,924078.0,0.0,overdue
INV-2026-000474,Vaishnavi Textiles LLP,,2026-07-25,42,31-60,917553.0,0.0,overdue
INV-2026-000207,Indusloom Roofing Products PVT LTD,,2026-07-06,61,61-90,907123.0,0.0,overdue
INV-2026-000530,Indusloom Roofing Products PVT LTD,,2026-08-18,18,1-30,898042.0,0.0,overdue
INV-2026-000255,Lohiya Polymers Private Limited,,2026-07-27,40,31-60,883233.0,0.0,overdue
INV-2026-000549,Lohiya Polymers Private Limited,,2026-09-04,1,1-30,880299.0,705083.3,overdue
INV-2026-000013,Everstone Logistics Ltd,,2026-06-08,89,61-90,876723.0,0.0,overdue
INV-2026-000728,Saptagiri Water Treatment LLP,,2026-08-28,8,1-30,855074.0,0.0,overdue
INV-2026-000496,Everstone Logistics Ltd,,2026-08-13,23,1-30,840229.0,0.0,overdue
INV-2026-000416,Zenith One Electricals & Co,,2026-07-16,51,31-60,834006.0,0.0,overdue
INV-2026-000528,Hiranyaka Hardware PVT LTD,,2026-08-03,33,31-60,827244.0,0.0,overdue
INV-2026-000270,Vaishnavi Textiles LLP,,2026-06-30,67,61-90,821403.0,0.0,open
INV-2026-000160,Vaishnavi Textiles LLP,,2026-06-16,81,61-90,821236.0,0.0,overdue
INV-2026-000388,Karman Print Solutions Private Limited,,2026-08-13,23,1-30,816850.0,0.0,overdue
INV-2026-000418,Saptagiri Water Treatment LLP,,2026-07-16,51,31-60,804694.0,0.0,overdue
INV-2026-000127,Hiranyaka Hardware PVT LTD,,2026-06-12,85,61-90,784500.0,0.0,overdue
INV-2026-000476,Tansh Machine Parts Ltd,,2026-08-10,26,1-30,781580.0,0.0,overdue
INV-2026-000781,Hiranyaka Hardware PVT LTD,,2026-09-04,1,1-30,774358.0,552551.48,overdue
INV-2026-000308,Indusloom Roofing Products PVT LTD,,2026-07-20,47,31-60,760665.0,0.0,overdue
INV-2026-000156,Raman Deep Conveyances Private Limited,,2026-06-16,81,61-90,745456.0,0.0,overdue
INV-2026-000110,Anant Infra Solar EPC Ltd,,2026-07-25,42,31-60,734920.0,0.0,overdue
INV-2026-000199,Indusloom Roofing Products PVT LTD,,2026-07-06,61,61-90,729720.0,2355.79,overdue
INV-2026-000006,Saptagiri Water Treatment LLP,,2026-05-23,105,91-180,729528.0,0.0,overdue
INV-2026-000517,Zenith One Electricals & Co,,2026-08-01,35,31-60,727466.0,0.0,overdue
INV-2026-000489,Anant Infra Catering Services Private Limited,,2026-08-27,9,1-30,721941.0,0.0,overdue
INV-2026-000515,Anant Infra Catering Services Private Limited,,2026-08-31,5,1-30,720186.0,593534.24,overdue
INV-2026-000109,Raman Deep Conveyances Private Limited,,2026-06-10,87,61-90,705459.0,0.0,overdue
INV-2026-000139,Anant Infra Solar EPC Ltd,,2026-07-28,39,31-60,688712.0,0.0,overdue
INV-2026-000137,Tansh Machine Parts Ltd,,2026-06-29,68,61-90,685749.0,0.0,overdue
INV-2026-000171,Raman Deep Conveyances Private Limited,,2026-06-17,80,61-90,672547.0,0.0,overdue
INV-2026-000548,Zenith One Electricals & Co,,2026-08-05,31,31-60,666451.0,0.0,overdue
INV-2026-000684,Vaishnavi Textiles LLP,,2026-08-22,14,1-30,646028.0,0.0,overdue
INV-2026-000676,Vaishnavi Textiles LLP,,2026-08-21,15,1-30,644786.0,0.0,overdue
INV-2026-000387,Raman Deep Conveyances Private Limited,,2026-07-14,53,31-60,643103.0,0.0,open
INV-2026-000182,Raman Deep Conveyances Private Limited,,2026-06-18,79,61-90,642449.0,0.0,overdue
INV-2026-000025,Anant Infra Solar EPC Ltd,,2026-07-11,56,31-60,636026.0,0.0,overdue
INV-2026-000678,Zenith One Electricals & Co,,2026-08-21,15,1-30,629225.0,0.0,overdue
INV-2026-000463,Indusloom Roofing Products PVT LTD,,2026-08-07,29,1-30,619995.0,0.0,overdue
INV-2026-000790,Raman Deep Conveyances Private Limited,,2026-09-05,0,1-30,613417.0,589818.17,open
INV-2026-000400,Everstone Logistics Ltd,,2026-07-30,37,31-60,612326.0,0.0,overdue
INV-2026-000340,Vaishnavi Textiles LLP,,2026-07-09,58,31-60,607869.0,0.0,overdue
INV-2026-000289,Vaishnavi Textiles LLP,,2026-07-02,65,61-90,602938.0,0.0,open
INV-2026-000404,Tansh Machine Parts Ltd,,2026-07-30,37,31-60,600679.0,3843.1,overdue
INV-2026-000175,Anant Infra Catering Services Private Limited,,2026-07-17,50,31-60,589856.0,1744.77,overdue
INV-2026-000088,Everstone Logistics Ltd,,2026-06-20,77,61-90,580655.0,0.0,overdue
INV-2026-000097,Vaishnavi Textiles LLP,,2026-06-06,91,91-180,580086.0,0.0,overdue
INV-2026-000498,Vaishnavi Textiles LLP,,2026-07-29,38,31-60,576640.0,0.0,overdue
INV-2026-000429,Zenith One Electricals & Co,,2026-07-17,50,31-60,572876.0,0.0,overdue
INV-2026-000561,Lohiya Polymers Private Limited,,2026-09-05,0,1-30,565202.0,462750.45,open
INV-2026-000047,Everstone Logistics Ltd,,2026-06-15,82,61-90,563199.0,0.0,overdue
INV-2026-000583,Zenith One Electricals & Co,,2026-08-08,28,1-30,559672.0,0.0,overdue
INV-2026-000609,Tansh Machine Parts Ltd,,2026-08-28,8,1-30,558807.0,442604.43,overdue
INV-2026-000677,Zenith One Electricals & Co,,2026-08-21,15,1-30,557736.0,0.0,overdue
INV-2026-000703,Vaishnavi Textiles LLP,,2026-08-25,11,1-30,553105.0,0.0,overdue
INV-2026-000643,Trividata Warehousing Ltd,,2026-08-17,19,1-30,552602.0,0.0,overdue
INV-2026-000287,Anant Infra Solar EPC Ltd,,2026-08-17,19,1-30,546453.0,0.0,overdue
INV-2026-000353,Raman Deep Conveyances Private Limited,,2026-07-10,57,31-60,542720.0,0.0,overdue
INV-2026-000198,Indusloom Roofing Products PVT LTD,,2026-07-06,61,61-90,542094.0,0.0,open
INV-2026-000342,Indusloom Roofing Products PVT LTD,,2026-07-24,43,31-60,538281.0,1734.42,overdue
INV-2026-000324,Indusloom Roofing Products PVT LTD,,2026-07-22,45,31-60,533729.0,0.0,overdue
INV-2026-000081,Indusloom Roofing Products PVT LTD,,2026-06-19,78,61-90,520063.0,0.0,overdue
INV-2026-000582,Saptagiri Water Treatment LLP,,2026-08-08,28,1-30,513227.0,0.0,overdue
INV-2026-000295,Lohiya Polymers Private Limited,,2026-08-03,33,31-60,505475.0,0.0,overdue
INV-2026-000033,Zenith One Electricals & Co,,2026-05-28,100,91-180,505128.0,0.0,overdue
INV-2026-000140,Karman Print Solutions Private Limited,,2026-07-13,54,31-60,502963.0,0.0,overdue
INV-2026-000471,Hiranyaka Hardware PVT LTD,,2026-07-25,42,31-60,502000.0,0.0,overdue
INV-2026-000621,Hiranyaka Hardware PVT LTD,,2026-08-14,22,1-30,501728.0,0.0,overdue
INV-2026-000508,Zenith One Electricals & Co,,2026-07-31,36,31-60,498061.0,0.0,overdue
INV-2026-000029,Raman Deep Conveyances Private Limited,,2026-05-28,100,91-180,496114.0,0.0,overdue
INV-2026-000128,Vaishnavi Textiles LLP,,2026-06-12,85,61-90,492536.0,1063.87,overdue
INV-2026-000201,Hiranyaka Hardware PVT LTD,,2026-06-20,77,61-90,491625.0,0.0,overdue
INV-2026-000424,Vaishnavi Textiles LLP,,2026-07-17,50,31-60,487734.0,0.0,overdue
INV-2026-000614,Zenith One Electricals & Co,,2026-08-13,23,1-30,485697.0,0.0,overdue
INV-2026-000633,Tansh Machine Parts Ltd,,2026-08-31,5,1-30,480222.0,416849.22,overdue
INV-2026-000488,Indusloom Roofing Products PVT LTD,,2026-08-12,24,1-30,468988.0,12957.28,overdue
INV-2026-000522,Tansh Machine Parts Ltd,,2026-08-17,19,1-30,468977.0,0.0,overdue
INV-2026-000789,Vaishnavi Textiles LLP,,2026-09-05,0,1-30,468878.0,402600.84,open
INV-2026-000433,Anant Infra Catering Services Private Limited,,2026-08-17,19,1-30,463722.0,0.0,overdue
INV-2026-000239,Vaishnavi Textiles LLP,,2026-06-26,71,61-90,455760.0,0.0,open
INV-2026-000095,Raman Deep Conveyances Private Limited,,2026-06-06,91,91-180,455047.0,0.0,overdue
INV-2026-000084,Anant Infra Solar EPC Ltd,,2026-07-20,47,31-60,446459.0,0.0,overdue
INV-2026-000541,Vaishnavi Textiles LLP,,2026-08-04,32,31-60,441245.0,0.0,overdue
INV-2026-000505,Indusloom Roofing Products PVT LTD,,2026-08-17,19,1-30,441188.0,0.0,overdue
INV-2026-000497,Karman Print Solutions Private Limited,,2026-08-28,8,1-30,435403.0,0.0,overdue
INV-2026-000012,Zenith One Electricals & Co,,2026-05-25,103,91-180,428575.0,0.0,overdue
INV-2026-000427,Everstone Logistics Ltd,,2026-08-01,35,31-60,426984.0,0.0,overdue
INV-2026-000039,Anant Infra Catering Services Private Limited,,2026-06-29,68,61-90,420549.0,0.0,overdue
INV-2026-000608,Saptagiri Water Treatment LLP,,2026-08-13,23,1-30,419806.0,0.0,overdue
INV-2026-000601,Trividata Warehousing Ltd,,2026-08-12,24,1-30,419135.0,0.0,overdue
INV-2026-000729,Saptagiri Water Treatment LLP,,2026-08-28,8,1-30,416007.0,0.0,overdue
INV-2026-000158,Indusloom Roofing Products PVT LTD,,2026-07-01,66,61-90,413464.0,0.0,overdue
INV-2026-000038,Raman Deep Conveyances Private Limited,,2026-05-29,99,91-180,410593.0,0.0,overdue
INV-2026-000333,Tansh Machine Parts Ltd,,2026-07-23,44,31-60,410311.0,0.0,overdue
INV-2026-000019,Saptagiri Water Treatment LLP,,2026-05-26,102,91-180,408570.0,0.0,overdue
INV-2026-000202,Trividata Warehousing Ltd,,2026-06-20,77,61-90,406973.0,0.0,overdue
INV-2026-000399,Anant Infra Solar EPC Ltd,,2026-08-29,7,1-30,405358.0,0.0,overdue
INV-2026-000157,Anant Infra Catering Services Private Limited,,2026-07-16,51,31-60,403760.0,0.0,overdue
INV-2026-000401,Indusloom Roofing Products PVT LTD,,2026-07-30,37,31-60,403743.0,0.0,overdue
INV-2026-000341,Zenith One Electricals & Co,,2026-07-09,58,31-60,401091.0,0.0,open
INV-2026-000034,Karman Print Solutions Private Limited,,2026-06-27,70,61-90,399059.0,0.0,overdue
INV-2026-000248,Anant Infra Solar EPC Ltd,,2026-08-11,25,1-30,394770.0,0.0,overdue
INV-2026-000364,Indusloom Roofing Products PVT LTD,,2026-07-27,40,31-60,394725.0,0.0,overdue
INV-2026-000274,Zenith One Electricals & Co,,2026-07-01,66,61-90,393541.0,0.0,overdue
INV-2026-000339,Saptagiri Water Treatment LLP,,2026-07-09,58,31-60,391613.0,0.0,overdue
INV-2026-000225,Lohiya Polymers Private Limited,,2026-07-24,43,31-60,390789.0,0.0,overdue
INV-2026-000535,Indusloom Roofing Products PVT LTD,,2026-08-19,17,1-30,389390.0,0.0,overdue
INV-2026-000250,Anant Infra Catering Services Private Limited,,2026-07-27,40,31-60,388130.0,0.0,overdue
INV-2026-000174,Indusloom Roofing Products PVT LTD,,2026-07-02,65,61-90,385974.0,0.0,open
INV-2026-000769,Zenith One Electricals & Co,,2026-09-03,2,1-30,385129.0,352280.2,overdue
INV-2026-000215,Shree Balaji Recyclers Company,,2026-06-15,82,61-90,384703.0,623.08,overdue
INV-2026-000226,Zenith One Electricals & Co,,2026-06-24,73,61-90,384074.0,0.0,overdue
INV-2026-000024,Anant Infra Catering Services Private Limited,,2026-06-26,71,61-90,383718.0,0.0,overdue
INV-2026-000538,Tansh Machine Parts Ltd,,2026-08-19,17,1-30,380220.0,0.0,overdue
INV-2026-000112,Shree Balaji Recyclers Company,,2026-06-02,95,91-180,379005.0,0.0,overdue
INV-2026-000252,Hiranyaka Hardware PVT LTD,,2026-06-27,70,61-90,376435.0,435.68,open
INV-2026-000562,Raman Deep Conveyances Private Limited,,2026-08-06,30,1-30,374734.0,0.0,overdue
INV-2026-000213,Zenith One Electricals & Co,,2026-06-23,74,61-90,373053.0,0.0,overdue
INV-2026-000197,Tansh Machine Parts Ltd,,2026-07-06,61,61-90,372403.0,0.0,overdue
INV-2026-000389,Raman Deep Conveyances Private Limited,,2026-07-14,53,31-60,371706.0,0.0,open
INV-2026-000138,Anant Infra Solar EPC Ltd,,2026-07-28,39,31-60,365400.0,0.0,overdue
INV-2026-000119,Zenith One Electricals & Co,,2026-06-11,86,61-90,365302.0,0.0,overdue
INV-2026-000420,Zenith One Electricals & Co,,2026-07-16,51,31-60,363935.0,0.0,overdue
INV-2026-000026,Anant Infra Catering Services Private Limited,,2026-06-26,71,61-90,363545.0,0.0,overdue
INV-2026-000003,Indusloom Roofing Products PVT LTD,,2026-06-08,89,61-90,362844.0,0.0,overdue
INV-2026-000094,Vaishnavi Textiles LLP,,2026-06-06,91,91-180,362633.0,0.0,overdue
INV-2026-000551,Everstone Logistics Ltd,,2026-08-20,16,1-30,362222.0,0.0,overdue
INV-2026-000384,Zenith One Electricals & Co,,2026-07-14,53,31-60,360519.0,0.0,overdue
INV-2026-000406,Zenith One Electricals & Co,,2026-07-15,52,31-60,354864.0,0.0,overdue
INV-2026-000304,Lohiya Polymers Private Limited,,2026-08-03,33,31-60,353309.0,1258.71,overdue
INV-2026-000141,Shree Balaji Recyclers Company,,2026-06-05,92,91-180,351875.0,0.0,overdue
INV-2026-000354,Hiranyaka Hardware PVT LTD,,2026-07-10,57,31-60,346214.0,0.0,open
INV-2026-000553,Tansh Machine Parts Ltd,,2026-08-20,16,1-30,345077.0,0.0,overdue
INV-2026-000355,Zenith One Electricals & Co,,2026-07-10,57,31-60,344952.0,0.0,overdue
INV-2026-000426,Anant Infra Solar EPC Ltd,,2026-08-31,5,1-30,342870.0,305664.15,overdue
INV-2026-000706,Zenith One Electricals & Co,,2026-08-25,11,1-30,341851.0,0.0,overdue
INV-2026-000748,Trividata Warehousing Ltd,,2026-08-31,5,1-30,341218.0,0.0,open
INV-2026-000642,Indusloom Roofing Products PVT LTD,,2026-08-31,5,1-30,337722.0,0.0,overdue
INV-2026-000516,Trividata Warehousing Ltd,,2026-08-01,35,31-60,334475.0,0.0,overdue
INV-2026-000715,Raman Deep Conveyances Private Limited,,2026-08-26,10,1-30,331414.0,0.0,overdue
INV-2026-000159,Shree Balaji Recyclers Company,,2026-06-08,89,61-90,329710.0,0.0,overdue
INV-2026-000040,Zenith One Electricals & Co,,2026-05-29,99,91-180,328550.0,0.0,overdue
INV-2026-000004,Tansh Machine Parts Ltd,,2026-06-08,89,61-90,327825.0,0.0,overdue
INV-2026-000755,Saptagiri Water Treatment LLP,,2026-09-01,4,1-30,324195.0,290353.5,overdue
INV-2026-000731,Trividata Warehousing Ltd,,2026-08-28,8,1-30,322315.0,0.0,overdue
INV-2026-000305,Saptagiri Water Treatment LLP,,2026-07-04,63,61-90,322054.0,0.0,overdue
INV-2026-000275,Raman Deep Conveyances Private Limited,,2026-07-01,66,61-90,312214.0,0.0,overdue
INV-2026-000365,Anant Infra Solar EPC Ltd,,2026-08-25,11,1-30,311969.0,0.0,overdue
INV-2026-000402,Vaishnavi Textiles LLP,,2026-07-15,52,31-60,311747.0,0.0,overdue
INV-2026-000196,Trividata Warehousing Ltd,,2026-06-20,77,61-90,305194.0,0.0,open
INV-2026-000185,Everstone Logistics Ltd,,2026-07-03,64,61-90,303995.0,0.0,overdue
INV-2026-000581,Tansh Machine Parts Ltd,,2026-08-24,12,1-30,300432.0,0.0,overdue
INV-2026-000383,Lohiya Polymers Private Limited,,2026-08-13,23,1-30,300226.0,0.0,overdue
INV-2026-000511,Tansh Machine Parts Ltd,,2026-08-17,19,1-30,298940.0,0.0,overdue
INV-2026-000286,Everstone Logistics Ltd,,2026-07-17,50,31-60,296005.0,0.0,overdue
INV-2026-000473,Hiranyaka Hardware PVT LTD,,2026-07-25,42,31-60,293700.0,0.0,overdue
INV-2026-000592,Zenith One Electricals & Co,,2026-08-11,25,1-30,292960.0,0.0,overdue
INV-2026-000763,Zenith One Electricals & Co,,2026-09-02,3,1-30,292134.0,0.0,overdue
INV-2026-000454,Hiranyaka Hardware PVT LTD,,2026-07-22,45,31-60,291968.0,0.0,overdue
INV-2026-000294,Zenith One Electricals & Co,,2026-07-03,64,61-90,291515.0,0.0,overdue
INV-2026-000058,Anant Infra Solar EPC Ltd,,2026-07-15,52,31-60,290811.0,0.0,overdue
INV-2026-000183,Zenith One Electricals & Co,,2026-06-18,79,61-90,289474.0,0.0,overdue
INV-2026-000371,Lohiya Polymers Private Limited,,2026-08-11,25,1-30,286902.0,0.0,overdue
INV-2026-000271,Lohiya Polymers Private Limited,,2026-07-30,37,31-60,281618.0,0.0,overdue
INV-2026-000435,Zenith One Electricals & Co,,2026-07-18,49,31-60,278579.0,0.0,overdue
INV-2026-000111,Lohiya Polymers Private Limited,,2026-07-10,57,31-60,276558.0,0.0,overdue
INV-2026-000351,Zenith One Electricals & Co,,2026-07-10,57,31-60,276442.0,0.0,overdue
INV-2026-000382,Karman Print Solutions Private Limited,,2026-08-13,23,1-30,275606.0,0.0,overdue
INV-2026-000066,Hiranyaka Hardware PVT LTD,,2026-06-02,95,91-180,274366.0,0.0,overdue
INV-2026-000373,Karman Print Solutions Private Limited,,2026-08-11,25,1-30,271219.0,0.0,overdue
INV-2026-000529,Indusloom Roofing Products PVT LTD,,2026-08-17,19,1-30,269942.0,0.0,overdue
INV-2026-000104,Trividata Warehousing Ltd,,2026-06-09,88,61-90,269175.0,0.0,open
INV-2026-000082,Trividata Warehousing Ltd,,2026-06-04,93,91-180,269010.0,0.0,overdue
INV-2026-000329,Zenith One Electricals & Co,,2026-07-08,59,31-60,267583.0,0.0,open
INV-2026-000056,Zenith One Electricals & Co,,2026-06-01,96,91-180,264576.0,1196.32,overdue
INV-2026-000162,Hiranyaka Hardware PVT LTD,,2026-06-16,81,61-90,263835.0,0.0,overdue
INV-2026-000030,Trividata Warehousing Ltd,,2026-05-28,100,91-180,262615.0,0.0,overdue
INV-2026-000321,Zenith One Electricals & Co,,2026-07-06,61,61-90,261545.0,0.0,open
INV-2026-000518,Zenith One Electricals & Co,,2026-08-01,35,31-60,259946.0,0.0,overdue
INV-2026-000102,Anant Infra Catering Services Private Limited,,2026-07-09,58,31-60,257365.0,0.0,overdue
INV-2026-000223,Zenith One Electricals & Co,,2026-06-24,73,61-90,257203.0,0.0,overdue
INV-2026-000216,Anant Infra Catering Services Private Limited,,2026-07-23,44,31-60,255482.0,755.15,overdue
INV-2026-000386,Saptagiri Water Treatment LLP,,2026-07-14,53,31-60,254748.0,0.0,overdue
INV-2026-000136,Indusloom Roofing Products PVT LTD,,2026-06-29,68,61-90,253606.0,0.0,overdue
INV-2026-000537,Indusloom Roofing Products PVT LTD,,2026-08-19,17,1-30,253283.0,0.0,overdue
INV-2026-000309,Shree Balaji Recyclers Company,,2026-06-26,71,61-90,252240.0,0.0,overdue
INV-2026-000073,Anant Infra Solar EPC Ltd,,2026-07-18,49,31-60,251202.0,0.0,overdue
INV-2026-000462,Tansh Machine Parts Ltd,,2026-08-07,29,1-30,249455.0,0.0,overdue
INV-2026-000652,Everstone Logistics Ltd,,2026-09-02,3,1-30,248725.0,0.0,overdue
INV-2026-000718,Trividata Warehousing Ltd,,2026-08-26,10,1-30,248434.0,0.0,overdue
INV-2026-000594,Tansh Machine Parts Ltd,,2026-08-26,10,1-30,247963.0,0.0,overdue
INV-2026-000844,Shree Balaji Recyclers Company,,2026-09-05,0,1-30,245914.0,199851.91,open
INV-2026-000021,Anant Infra Catering Services Private Limited,,2026-06-25,72,61-90,245762.0,0.0,overdue
INV-2026-000172,Hiranyaka Hardware PVT LTD,,2026-06-17,80,61-90,245711.0,0.0,overdue
INV-2026-000229,Zenith One Electricals & Co,,2026-06-24,73,61-90,243602.0,0.0,overdue
INV-2026-000349,Indusloom Roofing Products PVT LTD,,2026-07-25,42,31-60,243416.0,0.0,overdue
INV-2026-000331,Trividata Warehousing Ltd,,2026-07-08,59,31-60,242912.0,0.0,overdue
INV-2026-000363,Karman Print Solutions Private Limited,,2026-08-10,26,1-30,242566.0,3201.78,overdue
INV-2026-000212,Trividata Warehousing Ltd,,2026-06-23,74,61-90,241810.0,0.0,overdue
INV-2026-000472,Shree Balaji Recyclers Company,,2026-07-17,50,31-60,241703.0,0.0,overdue
INV-2026-000352,Everstone Logistics Ltd,,2026-07-25,42,31-60,241032.0,0.0,overdue
INV-2026-000083,Raman Deep Conveyances Private Limited,,2026-06-04,93,91-180,237843.0,0.0,overdue
INV-2026-000444,Raman Deep Conveyances Private Limited,,2026-07-21,46,31-60,236679.0,0.0,overdue
INV-2026-000362,Everstone Logistics Ltd,,2026-07-27,40,31-60,236101.0,1344.0,overdue
INV-2026-000571,Trividata Warehousing Ltd,,2026-08-07,29,1-30,235675.0,0.0,overdue
INV-2026-000041,Indusloom Roofing Products PVT LTD,,2026-06-13,84,61-90,232470.0,0.0,overdue
